ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,0,583.234666078,19.5035,3404.966623127641,374.0,197.0,0.526737967914438,259.8870470860256,1.6213,300.488035441348,27075.9,72.4,0.9483,17596021.147334844,3,521.4839572192514,0.487,0.482,0.488,0.484,0.488,0.484,9.104188831892088,0.331,0.402,0.304,0.368,0.304,0.365,1.0,0.0,1.0,0.0,1.0,0.0,29.90410265224191,1.5594509788181818,2.960582061309645,0.1712893930050534,990.02538071066,174.5823376895245,0.5267379679144385,17.284094533642847,0.4595985589294905,1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,1,762.189571192,27.6221,4069.2547586055503,481.0,310.0,0.644490644490645,317.85220543143464,1.2824,300.488035441348,37512.1,78.0,1.0111,17596021.147334844,3,574.2640332640333,0.497,0.482,0.498,0.484,0.498,0.484,8.459989103130042,0.321,0.402,0.295,0.368,0.295,0.365,1.0,0.0,1.0,0.0,1.0,0.0,27.59346940283324,1.584593703101871,2.458676036103226,0.1873044614815875,891.0354838709677,147.31880481953038,0.6444906444906445,13.126628253566292,0.25793650793650796,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,2,1219.34761657,17.9484,3907.677427176938,560.0,329.0,0.5875,235.51147490523067,0.7508,300.488035441348,43373.0,77.5,1.0625,17596021.147334844,3,320.50714285714287,0.431,0.482,0.431,0.484,0.431,0.484,6.977995405673104,0.295,0.402,0.271,0.368,0.271,0.365,2.0,1.0,2.0,1.0,2.0,1.0,67.93628493737603,2.177406458160714,3.706223758571429,0.3120389641401146,545.5440729483282,217.71731336369476,0.5875,11.877438988379753,0.28823854224185536,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,3,1028.97129544,10.409,3128.509445088543,486.0,269.0,0.553497942386831,171.15759423908605,0.4937,300.488035441348,39931.5,82.2,1.101,17596021.147334844,3,214.1769547325103,0.369,0.482,0.371,0.484,0.371,0.484,6.437262232692476,0.284,0.402,0.261,0.368,0.261,0.365,2.0,1.0,2.0,1.0,2.0,1.0,98.85400090690749,2.1172248877366253,3.8251721020074343,0.328901450834801,386.9516728624535,300.5581175029823,0.5534979423868313,11.630146636016889,0.1571969696969697,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,4,1271.3319715,62.7626,8028.978189529681,836.0,523.0,0.625598086124402,325.1293481997042,1.4288,300.488035441348,63321.1,75.7,1.1742,17596021.147334844,3,750.7488038277511,0.524,0.482,0.524,0.484,0.524,0.484,9.604040896566604,0.338,0.402,0.311,0.368,0.311,0.365,1.0,0.0,1.0,0.0,1.0,0.0,20.256203081134306,1.520732023325359,2.430845069789675,0.1583429349898971,1200.0497131931163,127.92615649335242,0.6255980861244019,15.351774740974534,0.28616600790513835,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,5,939.8732804,11.7074,2708.2500539972584,393.0,241.0,0.61323155216285,218.5491696525914,0.6784,300.488035441348,33176.7,84.4,1.1805,17596021.147334844,3,297.89821882951657,0.421,0.482,0.422,0.484,0.422,0.484,6.891221511443406,0.293,0.402,0.27,0.368,0.27,0.365,2.0,1.0,2.0,1.0,2.0,1.0,80.28027404889215,2.391535064631044,3.8998891302904566,0.3470408055610626,485.7842323651452,231.3280535385533,0.6132315521628499,11.237552091274932,0.26346801346801346,0
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,6,1125.16180531,19.7948,4212.009431597354,503.0,293.0,0.582504970178926,215.88800909437336,1.1885,300.488035441348,41680.2,82.9,1.0467,17596021.147334844,3,393.534791252485,0.456,0.482,0.457,0.484,0.457,0.484,8.373776205958954,0.319,0.402,0.294,0.368,0.294,0.365,2.0,1.0,2.0,1.0,2.0,1.0,56.84128181694183,2.236902197435388,3.840142680238908,0.2671318342426636,675.5904436860068,212.78363164049924,0.5825049701789264,14.37545881091247,0.366351418616227,1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,7,623.976667351,15.7853,2830.2172965815626,345.0,221.0,0.640579710144928,247.72109652311104,1.3153,300.488035441348,27276.7,79.1,1.1086,17596021.147334844,3,457.5449275362319,0.473,0.482,0.474,0.484,0.474,0.484,8.203528395888586,0.317,0.402,0.291,0.368,0.291,0.365,2.0,1.0,2.0,1.0,2.0,1.0,39.528971090254856,1.8086280213072463,2.8234238341674205,0.220469526528815,714.2669683257918,179.29448896008074,0.6405797101449275,12.806413106703904,0.40513462742642453,1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,8,700.51159341,25.056,3206.473988355981,387.0,238.0,0.614987080103359,419.4852200797854,1.4524,300.488035441348,25625.6,66.2,0.9172,17596021.147334844,3,647.4418604651164,0.509,0.482,0.51,0.484,0.51,0.484,8.285462502211837,0.318,0.402,0.292,0.368,0.292,0.365,1.0,0.0,1.0,0.0,1.0,0.0,27.95783817887931,1.810107476511628,2.9433260227310925,0.2184678858939271,1052.7731092436975,127.97230157870294,0.6149870801033591,13.472579783008324,0.6944770857814336,1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,9,690.012208112,25.0087,4030.5856020486135,423.0,254.0,0.600472813238771,320.2727529335393,1.0705,300.488035441348,32510.3,76.9,0.9272,17596021.147334844,3,591.2222222222222,0.5,0.482,0.501,0.484,0.501,0.484,9.528571163235492,0.337,0.402,0.31,0.368,0.31,0.365,1.0,0.0,1.0,0.0,1.0,0.0,27.590886695909823,1.6312345345437351,2.716583496503937,0.1711940338796649,984.5944881889764,161.1673378483733,0.6004728132387707,15.868447252159896,0.32938856015779094,1
154.0,Mexico City,Mexico City; Ecatepec; Nezahualcóyotl; Naucalpan; Tlalnepantla; Chimalhuacan; López Mateos; Cuautitlan Izcalli; Xico; Ixtapaluca; La Cumbre; El Hielo; San José Tejamanil,Mexico,Latin America and the Caribbean,Central America,10,514.93323269,54.5064,3658.941581564774,523.0,375.0,0.717017208413002,484.5921430250105,2.6759,300.488035441348,35903.4,68.6,0.8955,17596021.147334844,3,1042.187380497132,0.555,0.482,0.555,0.484,0.555,0.484,6.996064209492876,0.295,0.402,0.272,0.368,0.272,0.365,1.0,0.0,1.0,0.0,1.0,0.0,9.447206799385024,0.9845759707265772,1.3731552871733332,0.1407328379563209,1453.504,67.12865978242507,0.7170172084130019,9.757177550839398,0.05821917808219178,0
