ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,0,474.975576506,0.852092,486.7287411822414,30.0,7.0,0.233333333333333,229.74953896663789,0.466,474.37827603692745,3712.3,123.7,0.8614,63578.801267104,1,284.03066666666666,0.436,0.712,0.541,0.676,0.448,0.566,16.22429137274138,0.429,0.4685,0.449,0.51,0.344,0.412,2.0,1.0,2.0,1.0,2.0,1.0,557.4228798134474,15.832519216866666,67.85365378657143,0.9758527416160108,1217.2742857142855,571.2161846164985,0.2333333333333333,69.53267731174877,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,1,1708.8025383,4.11486,1755.6343079901462,135.0,42.0,0.311111111111111,209.7287087309753,0.5671,474.37827603692745,17526.0,129.8,1.063,63578.801267104,1,304.80444444444447,0.482,0.712,0.553,0.676,0.457,0.566,13.004698577704788,0.358,0.4685,0.394,0.51,0.316,0.412,2.0,1.0,2.0,1.0,2.0,1.0,415.2759846750557,12.65779658,40.68577472142857,0.9733248721120292,979.7285714285714,426.65711785823726,0.3111111111111111,41.80081685690824,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,2,401.314924231,0.752173,488.6961978843447,31.0,8.0,0.258064516129032,143.82974167495834,0.3704,474.37827603692745,3005.6,97.0,1.0373,63578.801267104,1,242.6364516129032,0.0,0.712,0.51,0.676,0.428,0.566,15.764393480140152,0.42,0.4685,0.442,0.51,0.34,0.412,2.0,1.0,2.0,1.0,2.0,1.0,533.5407203276375,12.945642717129031,50.164365528875,0.8211951023322174,940.21625,649.7124968382868,0.2580645161290322,61.08702473554309,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,3,4878.13572809,47.3057,3936.530509581816,508.0,364.0,0.716535433070866,259.9749494574861,3.054,474.37827603692745,55963.3,110.2,1.4223,63578.801267104,1,931.214566929134,0.76,0.712,0.709,0.676,0.573,0.566,7.749075806263417,0.09,0.4685,0.239,0.51,0.249,0.412,1.0,0.0,1.0,0.0,1.0,0.0,103.11940692326718,9.602629386003937,13.401471780467034,1.2391967282398155,1299.607142857143,83.21471851345221,0.7165354330708661,10.8146442570929,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,4,634.227053626,2.19206,1059.0005307239817,42.0,9.0,0.214285714285714,346.10888921139536,0.4749,474.37827603692745,8167.3,194.5,1.2295,63578.801267104,1,521.9190476190477,0.655,0.712,0.635,0.676,0.516,0.566,25.21429835057099,0.547,0.4685,0.547,0.51,0.4,0.412,1.0,0.0,1.0,0.0,2.0,1.0,289.32923990492964,15.100644133952382,70.46967262511112,0.5988921017748812,2435.6222222222223,483.1074563305665,0.2142857142857142,117.66672563599796,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,5,3432.80016008,15.9192,3472.462890898897,288.0,154.0,0.534722222222222,331.8195253618354,0.8578,474.37827603692745,42230.4,146.6,1.5199,63578.801267104,1,552.75,0.668,0.712,0.643,0.676,0.522,0.566,12.05716281562117,0.33,0.4685,0.374,0.51,0.306,0.412,2.0,1.0,2.0,1.0,2.0,1.0,215.6389868887884,11.919445000277776,22.29091013038961,0.988577925217617,1033.7142857142858,218.13048965393344,0.5347222222222222,22.54846033051232,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,6,607.531687996,1.58151,727.1120571448561,32.0,7.0,0.21875,388.3666961973419,0.6594,474.37827603692745,7295.5,228.0,1.5926,63578.801267104,1,494.221875,0.643,0.712,0.627,0.676,0.51,0.566,22.722251785776752,0.521,0.4685,0.525,0.51,0.387,0.412,1.0,0.0,1.0,0.0,2.0,1.0,384.1465991337392,18.985365249875,86.79024114228571,0.8355406598284022,2259.3,459.7581154370545,0.21875,103.87315102069373,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,7,980.676561737,2.1973,1013.4003644255732,34.0,6.0,0.176470588235294,572.8292688796105,1.1134,474.37827603692745,9745.8,286.6,2.326,63578.801267104,1,646.2647058823528,0.698,0.712,0.663,0.676,0.538,0.566,29.80589307134039,0.587,0.4685,0.582,0.51,0.421,0.412,1.0,0.0,1.0,0.0,1.0,0.0,446.3098173836072,28.843428286382355,163.44609362283333,0.9677089096892896,3662.166666666666,461.2025505964472,0.1764705882352941,168.90006073759554,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,8,1009.58667089,2.11022,926.5237462729028,51.0,14.0,0.274509803921569,324.28135074446243,0.3195,474.37827603692745,10089.9,197.8,0.7061,63578.801267104,1,413.7686274509804,0.599,0.712,0.602,0.676,0.492,0.566,18.16713227986084,0.462,0.4685,0.475,0.51,0.359,0.412,2.0,1.0,2.0,1.0,2.0,1.0,478.4272118025609,19.79581707627451,72.113333635,1.0896500763755184,1507.3,439.0650009349276,0.2745098039215686,66.18026759092163,,,
562.0,Caldas,Caldas,Colombia,Latin America and the Caribbean,South America,9,4418.73210474,24.6335,4666.616382442614,245.0,72.0,0.293877551020408,354.5994997536395,1.6674,474.37827603692745,75266.3,307.2,6.3606,63578.801267104,1,1005.4489795918367,0.772,0.712,0.718,0.676,0.58,0.566,19.04741380588822,0.475,0.4685,0.486,0.51,0.365,0.412,0.0,0.0,1.0,0.0,1.0,0.0,179.37898003694156,18.035641243836736,61.3712792325,0.9468813681289,3421.319444444445,189.4418731582038,0.2938775510204082,64.81411642281408,,,
