ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,0,850.195730615,3.53472,1157.767244988139,82.0,44.0,0.536585365853659,225.24557400948672,0.8507,291.4489313716269,14003.7,170.8,1.6116,3294899.462836777,3,431.0634146341464,0.609,0.573,0.48,0.495,0.48,0.496,14.119112743757793,0.419,0.38,0.312,0.31,0.326,0.323,0.0,0.0,1.0,0.0,1.0,0.0,240.5270376762516,10.368240617256095,19.32263024125,0.7343408049376193,803.3454545454547,327.5414304352648,0.5365853658536586,26.312891931548616,0.3901098901098901,0.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1,599.163659022,2.99853,1054.2905071804366,109.0,51.0,0.467889908256881,201.40287136246104,0.8122,291.4489313716269,10599.0,97.2,0.8254,3294899.462836777,3,275.094495412844,0.546,0.573,0.431,0.495,0.431,0.496,9.672389974132448,0.342,0.38,0.258,0.31,0.279,0.323,2.0,1.0,2.0,1.0,2.0,1.0,199.8191310482136,5.496914302954129,11.74830703964706,0.5683098301097158,587.9470588235295,351.6024542627343,0.4678899082568807,20.67236288589092,0.7908496732026143,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,2,884.535831699,9.32366,2541.947335327005,127.0,48.0,0.377952755905512,443.0435323873248,0.5664,291.4489313716269,28532.6,224.7,0.9531,3294899.462836777,3,734.1464566929135,0.674,0.573,0.531,0.495,0.531,0.496,20.015333349031536,0.486,0.38,0.359,0.31,0.369,0.323,0.0,0.0,0.0,0.0,0.0,0.0,94.87002225510152,6.964849068496063,18.4278298270625,0.347975671803291,1942.4291666666668,272.6340659491021,0.3779527559055118,52.95723615264594,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,3,439.47788496,2.59032,810.850901732608,33.0,15.0,0.454545454545455,444.61198984997736,0.6407,291.4489313716269,9056.7,274.4,0.9851,3294899.462836777,3,784.9454545454546,0.682,0.573,0.537,0.495,0.537,0.496,24.571239446442668,0.524,0.38,0.386,0.31,0.394,0.323,0.0,0.0,0.0,0.0,0.0,0.0,169.66161901232277,13.317511665454544,29.298525664,0.5419959255406062,1726.88,313.0311705629451,0.4545454545454545,54.05672678217387,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,4,568.898543237,2.77147,609.322781335676,38.0,16.0,0.421052631578947,509.3190902814608,0.4587,291.4489313716269,8738.5,230.0,0.8713,3294899.462836777,3,729.3342105263158,0.674,0.573,0.53,0.495,0.53,0.496,16.03481003514937,0.444,0.38,0.329,0.31,0.341,0.323,0.0,0.0,0.0,0.0,0.0,0.0,205.2696017770353,14.971014295710528,35.5561589523125,0.9336571036945912,1732.1687499999998,219.8554490345109,0.4210526315789473,38.08267383347975,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,5,2986.88124427,9.36781,2322.428175136316,343.0,209.0,0.60932944606414,214.8997427604868,0.5271,291.4489313716269,40382.3,117.7,0.9942,3294899.462836777,3,273.1139941690962,0.545,0.573,0.43,0.495,0.43,0.496,6.770927624304128,0.263,0.38,0.203,0.31,0.234,0.323,2.0,1.0,2.0,1.0,2.0,1.0,318.8451990668043,8.708108583877552,14.291297819473684,1.2861027420556004,448.2205741626794,247.9158069107204,0.60932944606414,11.112096531752709,0.7828335056876939,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,6,1127.79897337,2.67025,1016.7913212135212,94.0,35.0,0.372340425531915,253.88062795398864,0.4258,291.4489313716269,11981.6,127.5,1.0828,3294899.462836777,3,284.06914893617017,0.551,0.573,0.435,0.495,0.435,0.496,10.816928949080014,0.366,0.38,0.274,0.31,0.293,0.323,2.0,1.0,2.0,1.0,2.0,1.0,422.3570726973131,11.997861418829787,32.22282781057143,1.1091744685861336,762.9285714285713,380.7850655232736,0.3723404255319149,29.051180606100605,0.9747292418772563,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,7,702.652188113,3.31342,1215.5381139418623,116.0,45.0,0.387931034482759,210.94060118052136,0.5671,291.4489313716269,13149.4,113.4,1.0368,3294899.462836777,3,285.63965517241377,0.552,0.573,0.435,0.495,0.435,0.496,10.4787768443264,0.359,0.38,0.269,0.31,0.289,0.323,2.0,1.0,2.0,1.0,2.0,1.0,212.06251791592976,6.05734644925,15.614493069177778,0.5780585405375507,736.3155555555555,366.8530140887248,0.3879310344827586,27.01195808759694,0.04941860465116279,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,8,1566.70222192,2.57776,982.2319524825624,109.0,48.0,0.440366972477064,172.01969212210363,0.5118,291.4489313716269,13002.1,119.3,1.1697,3294899.462836777,3,236.49174311926603,0.523,0.573,0.413,0.495,0.413,0.496,9.011302316353785,0.327,0.38,0.247,0.31,0.27,0.323,2.0,1.0,2.0,1.0,2.0,1.0,607.7766052386569,14.37341488,32.639629623333335,1.5950430221295553,537.0333333333334,381.0408852967547,0.4403669724770642,20.46316567672005,1.0,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,9,601.905100288,1.95634,847.3396689967783,93.0,42.0,0.451612903225806,186.55644094650853,0.3874,291.4489313716269,7809.1,84.0,0.774,3294899.462836777,3,210.35913978494625,0.503,0.573,0.398,0.495,0.398,0.496,9.111179236524498,0.33,0.38,0.249,0.31,0.271,0.323,2.0,1.0,2.0,1.0,2.0,1.0,307.66896361982066,6.47209785255914,14.331073816380952,0.7103468919384305,465.7952380952381,433.1249522050248,0.4516129032258064,20.174754023732817,0.9507389162561576,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,10,1667.84521644,3.04706,1194.4763030798558,115.0,48.0,0.417391304347826,218.61057144111632,0.4687,291.4489313716269,12517.8,108.9,0.7834,3294899.462836777,3,264.9617391304348,0.541,0.573,0.427,0.495,0.427,0.496,10.386750461563963,0.357,0.38,0.268,0.31,0.288,0.323,2.0,1.0,2.0,1.0,2.0,1.0,547.3621183829658,14.503001882086958,34.7467753425,1.3962982874918513,634.8041666666667,392.0094461808615,0.417391304347826,24.88492298083033,0.9873817034700315,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,11,731.56932016,1.50705,709.6417292561237,43.0,12.0,0.27906976744186,193.09246423457483,0.6789,291.4489313716269,6347.6,147.6,1.2554,3294899.462836777,3,350.4767441860465,0.581,0.573,0.458,0.495,0.458,0.496,16.503296029212176,0.449,0.38,0.333,0.31,0.345,0.323,0.0,0.0,1.0,0.0,1.0,0.0,485.43135274874754,17.01324000372093,60.96411001333333,1.0308995229562694,1255.875,470.8813438546324,0.2790697674418604,59.13681077134364,0.9873417721518988,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,12,1944.81674399,7.38977,2003.606905198696,258.0,157.0,0.608527131782946,173.11336639191035,0.7975,291.4489313716269,31728.7,123.0,1.2943,3294899.462836777,3,286.42519379844964,0.552,0.573,0.436,0.495,0.436,0.496,7.765918237204247,0.294,0.38,0.224,0.31,0.251,0.323,2.0,1.0,2.0,1.0,2.0,1.0,263.1768977911356,7.538049395310078,12.38736779611465,0.9706578365965124,470.68598726114647,271.13251227016485,0.6085271317829457,12.761827421647746,0.014397905759162303,0.0,0
