threshold,precision,recall,f1,accuracy,specificity,balanced_acc,tn,fp,fn,tp,repeat
0.4,0.8566131025957973,0.6682738669238187,0.7508125677139762,0.7782063645130183,0.8881388621022179,0.7782063645130184,921,116,344,693,0
0.4,0.8587360594795539,0.6682738669238187,0.7516268980477223,0.7791706846673095,0.8900675024108003,0.7791706846673095,923,114,344,693,1
0.4,0.8587360594795539,0.6682738669238187,0.7516268980477223,0.7791706846673095,0.8900675024108003,0.7791706846673095,923,114,344,693,2
0.4,0.8619402985074627,0.6682738669238187,0.752851711026616,0.7806171648987463,0.892960462873674,0.7806171648987463,926,111,344,693,3
0.4,0.8420413122721749,0.6682738669238187,0.7451612903225806,0.7714561234329798,0.8746383799421408,0.7714561234329798,907,130,344,693,4
0.4,0.8640897755610972,0.6682738669238187,0.7536704730831973,0.7815814850530376,0.8948891031822566,0.7815814850530376,928,109,344,693,5
0.4,0.8598014888337469,0.6682738669238187,0.7520347259902334,0.7796528447444552,0.8910318225650916,0.7796528447444552,924,113,344,693,6
0.4,0.8716981132075472,0.6682738669238187,0.7565502183406113,0.7849566055930569,0.9016393442622951,0.7849566055930569,935,102,344,693,7
0.4,0.8410194174757282,0.6682738669238187,0.7447608812466416,0.7709739633558341,0.8736740597878495,0.7709739633558341,906,131,344,693,8
0.4,0.863013698630137,0.6682738669238187,0.7532608695652174,0.781099324975892,0.8939247830279653,0.781099324975892,927,110,344,693,9
0.4,0.863013698630137,0.6682738669238187,0.7532608695652174,0.781099324975892,0.8939247830279653,0.781099324975892,927,110,344,693,10
0.4,0.8608695652173913,0.6682738669238187,0.752442996742671,0.7801350048216008,0.8919961427193829,0.7801350048216008,925,112,344,693,11
0.4,0.867334167709637,0.6682738669238187,0.7549019607843137,0.7830279652844745,0.8977820636451301,0.7830279652844745,931,106,344,693,12
0.4,0.8545006165228114,0.6682738669238187,0.75,0.7772420443587271,0.8862102217936355,0.7772420443587271,919,118,344,693,13
0.4,0.8587360594795539,0.6682738669238187,0.7516268980477223,0.7791706846673095,0.8900675024108003,0.7791706846673095,923,114,344,693,14
0.4,0.867334167709637,0.6682738669238187,0.7549019607843137,0.7830279652844745,0.8977820636451301,0.7830279652844745,931,106,344,693,15
0.4,0.8608695652173913,0.6682738669238187,0.752442996742671,0.7801350048216008,0.8919961427193829,0.7801350048216008,925,112,344,693,16
0.4,0.868421052631579,0.6682738669238187,0.7553133514986377,0.78351012536162,0.8987463837994214,0.7835101253616201,932,105,344,693,17
0.4,0.8761061946902655,0.6682738669238187,0.7582056892778993,0.7868852459016393,0.90549662487946,0.7868852459016393,939,98,344,693,18
0.4,0.8555555555555555,0.6682738669238187,0.750406063887385,0.7777242044358728,0.8871745419479267,0.7777242044358728,920,117,344,693,19
0.4,0.8555555555555555,0.6682738669238187,0.750406063887385,0.7777242044358728,0.8871745419479267,0.7777242044358728,920,117,344,693,20
0.4,0.8651685393258427,0.6682738669238187,0.7540805223068553,0.7820636451301832,0.8958534233365477,0.7820636451301832,929,108,344,693,21
0.4,0.8761061946902655,0.6682738669238187,0.7582056892778993,0.7868852459016393,0.90549662487946,0.7868852459016393,939,98,344,693,22
0.4,0.8523985239852399,0.6682738669238187,0.7491891891891892,0.7762777242044359,0.8842815814850531,0.7762777242044359,917,120,344,693,23
0.4,0.863013698630137,0.6682738669238187,0.7532608695652174,0.781099324975892,0.8939247830279653,0.781099324975892,927,110,344,693,24
0.4,0.8640897755610972,0.6682738669238187,0.7536704730831973,0.7815814850530376,0.8948891031822566,0.7815814850530376,928,109,344,693,25
0.4,0.8706030150753769,0.6682738669238187,0.7561374795417348,0.7844744455159113,0.9006750241080038,0.7844744455159113,934,103,344,693,26
0.4,0.863013698630137,0.6682738669238187,0.7532608695652174,0.781099324975892,0.8939247830279653,0.781099324975892,927,110,344,693,27
0.4,0.8738965952080706,0.6682738669238187,0.7573770491803279,0.7859209257473481,0.9035679845708775,0.7859209257473481,937,100,344,693,28
0.4,0.875,0.6682738669238187,0.7577911427009295,0.7864030858244937,0.9045323047251688,0.7864030858244937,938,99,344,693,29
0.4,0.8587360594795539,0.6682738669238187,0.7516268980477223,0.7791706846673095,0.8900675024108003,0.7791706846673095,923,114,344,693,30
0.4,0.8513513513513513,0.6682738669238187,0.7487844408427877,0.7757955641272902,0.8833172613307618,0.7757955641272902,916,121,344,693,31
0.4,0.8513513513513513,0.6682738669238187,0.7487844408427877,0.7757955641272902,0.8833172613307618,0.7757955641272902,916,121,344,693,32
0.4,0.8545006165228114,0.6682738669238187,0.75,0.7772420443587271,0.8862102217936355,0.7772420443587271,919,118,344,693,33
0.4,0.8513513513513513,0.6682738669238187,0.7487844408427877,0.7757955641272902,0.8833172613307618,0.7757955641272902,916,121,344,693,34
0.4,0.8695106649937264,0.6682738669238187,0.7557251908396947,0.7839922854387656,0.8997107039537127,0.7839922854387658,933,104,344,693,35
0.4,0.8772151898734177,0.6682738669238187,0.7586206896551724,0.787367405978785,0.9064609450337512,0.787367405978785,940,97,344,693,36
0.4,0.86625,0.6682738669238187,0.7544910179640718,0.7825458052073289,0.896817743490839,0.7825458052073289,930,107,344,693,37
0.4,0.86625,0.6682738669238187,0.7544910179640718,0.7825458052073289,0.896817743490839,0.7825458052073289,930,107,344,693,38
0.4,0.8608695652173913,0.6682738669238187,0.752442996742671,0.7801350048216008,0.8919961427193829,0.7801350048216008,925,112,344,693,39
0.4,0.853448275862069,0.6682738669238187,0.7495943753380205,0.7767598842815815,0.8852459016393442,0.7767598842815815,918,119,344,693,40
0.4,0.8587360594795539,0.6682738669238187,0.7516268980477223,0.7791706846673095,0.8900675024108003,0.7791706846673095,923,114,344,693,41
