threshold,precision,recall,f1,accuracy,specificity,balanced_acc,tn,fp,fn,tp,region_code,repeat
0.4,0.8415841584158416,0.6296296296296297,0.7203389830508474,0.7555555555555555,0.8814814814814815,0.7555555555555555,238,32,100,170,1,0
0.4,0.8542713567839196,0.6296296296296297,0.7249466950959488,0.7611111111111111,0.8925925925925926,0.7611111111111111,241,29,100,170,1,1
0.4,0.8808290155440415,0.6296296296296297,0.734341252699784,0.7722222222222223,0.9148148148148149,0.7722222222222223,247,23,100,170,1,2
0.4,0.8585858585858586,0.6296296296296297,0.7264957264957265,0.762962962962963,0.8962962962962963,0.762962962962963,242,28,100,170,1,3
0.4,0.8629441624365483,0.6296296296296297,0.728051391862955,0.7648148148148148,0.9,0.7648148148148148,243,27,100,170,1,4
0.4,0.8056872037914692,0.6296296296296297,0.7068607068607069,0.7388888888888889,0.8481481481481481,0.7388888888888889,229,41,100,170,1,5
0.4,0.8292682926829268,0.6296296296296297,0.7157894736842105,0.75,0.8703703703703703,0.75,235,35,100,170,1,6
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,7
0.4,0.8333333333333334,0.6296296296296297,0.7172995780590717,0.7518518518518519,0.8740740740740741,0.7518518518518519,236,34,100,170,1,8
0.4,0.8808290155440415,0.6296296296296297,0.734341252699784,0.7722222222222223,0.9148148148148149,0.7722222222222223,247,23,100,170,1,9
0.4,0.8374384236453202,0.6296296296296297,0.718816067653277,0.7537037037037037,0.8777777777777778,0.7537037037037038,237,33,100,170,1,10
0.4,0.8415841584158416,0.6296296296296297,0.7203389830508474,0.7555555555555555,0.8814814814814815,0.7555555555555555,238,32,100,170,1,11
0.4,0.85,0.6296296296296297,0.723404255319149,0.7592592592592593,0.8888888888888888,0.7592592592592593,240,30,100,170,1,12
0.4,0.8717948717948718,0.6296296296296297,0.7311827956989247,0.7685185185185185,0.9074074074074074,0.7685185185185186,245,25,100,170,1,13
0.4,0.8542713567839196,0.6296296296296297,0.7249466950959488,0.7611111111111111,0.8925925925925926,0.7611111111111111,241,29,100,170,1,14
0.4,0.8542713567839196,0.6296296296296297,0.7249466950959488,0.7611111111111111,0.8925925925925926,0.7611111111111111,241,29,100,170,1,15
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,16
0.4,0.8542713567839196,0.6296296296296297,0.7249466950959488,0.7611111111111111,0.8925925925925926,0.7611111111111111,241,29,100,170,1,17
0.4,0.8585858585858586,0.6296296296296297,0.7264957264957265,0.762962962962963,0.8962962962962963,0.762962962962963,242,28,100,170,1,18
0.4,0.8629441624365483,0.6296296296296297,0.728051391862955,0.7648148148148148,0.9,0.7648148148148148,243,27,100,170,1,19
0.4,0.85,0.6296296296296297,0.723404255319149,0.7592592592592593,0.8888888888888888,0.7592592592592593,240,30,100,170,1,20
0.4,0.8415841584158416,0.6296296296296297,0.7203389830508474,0.7555555555555555,0.8814814814814815,0.7555555555555555,238,32,100,170,1,21
0.4,0.8947368421052632,0.6296296296296297,0.7391304347826086,0.7777777777777778,0.9259259259259259,0.7777777777777778,250,20,100,170,1,22
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,23
0.4,0.8762886597938144,0.6296296296296297,0.7327586206896551,0.7703703703703704,0.9111111111111111,0.7703703703703704,246,24,100,170,1,24
0.4,0.8629441624365483,0.6296296296296297,0.728051391862955,0.7648148148148148,0.9,0.7648148148148148,243,27,100,170,1,25
0.4,0.845771144278607,0.6296296296296297,0.721868365180467,0.7574074074074074,0.8851851851851852,0.7574074074074074,239,31,100,170,1,26
