threshold,precision,recall,f1,specificity,balanced_acc,tn,fp,fn,tp
0.0,0.07900952380952381,1.0,0.14644824177376076,0.0,0.5,0,12088,0,1037
0.01,0.08323968534275164,1.0,0.15368655057428676,0.05517868960953011,0.527589344804765,667,11421,0,1037
0.02,0.0880422739282366,0.996142719382835,0.16178543461237274,0.11482461945731304,0.555483669420074,1388,10700,4,1033
0.03,0.092724165842252,0.9942140790742526,0.1696281671602501,0.1654533421575116,0.5798337106158821,2000,10088,6,1031
0.04,0.09734848484848485,0.991321118611379,0.17728722945589376,0.2114493712772998,0.6013852449443393,2556,9532,9,1028
0.05,0.10175891881148763,0.9874638379942141,0.1845045045045045,0.2522336201191264,0.6198487290566703,3049,9039,13,1024
0.06,0.10647225427462499,0.9787849566055931,0.19205298013245034,0.29533421575115815,0.6370595861783757,3570,8518,22,1015
0.07,0.11138094712440667,0.9729990356798457,0.1998811410459588,0.33405029781601586,0.6535246667479307,4038,8050,28,1009
0.08,0.11688914683691236,0.9710703953712633,0.20866141732283464,0.37061548643282594,0.6708429409020447,4480,7608,30,1007
0.09,0.12260677466863033,0.9633558341369335,0.21752857920522592,0.40858702845797484,0.6859714312974542,4939,7149,38,999
0.1,0.1282184655396619,0.9508196721311475,0.22596539475191932,0.4454003970880212,0.6981100346095843,5384,6704,51,986
0.11,0.13522099447513813,0.944069431051109,0.23655913978494625,0.48204831237591,0.7130588717135095,5827,6261,58,979
0.12,0.142583872866392,0.9344262295081968,0.2474147836078131,0.51795168762409,0.7261889585661434,6261,5827,68,969
0.13,0.1490625,0.9199614271938283,0.25655506252521176,0.549470549305096,0.7347159882494622,6642,5446,83,954
0.14,0.15660252156602522,0.9103182256509161,0.26723283793347485,0.5794176042356055,0.7448679149432609,7004,5084,93,944
0.15,0.16259877085162422,0.892960462873674,0.27510398098633393,0.6054765056254137,0.7492184842495438,7319,4769,111,926
0.16,0.16949778434268833,0.8852459016393442,0.28451882845188287,0.6278954334877564,0.7565706675635504,7590,4498,119,918
0.17,0.17664148750726322,0.8794599807135969,0.29419354838709677,0.6483289212442092,0.763894450978903,7837,4251,125,912
0.18,0.18383258104226508,0.8640308582449373,0.303163593300626,0.6709133024487095,0.7674720803468233,8110,3978,141,896
0.19,0.19149859032747776,0.8514946962391514,0.3126770538243626,0.6915949702183984,0.7715448332287749,8360,3728,154,883
0.2,0.19927289252442626,0.845708775313404,0.3225450533284296,0.7084712111184646,0.7770899932159343,8564,3524,160,877
0.21,0.20747975226298238,0.8399228543876567,0.33276026743075454,0.7247683653209794,0.782345609854318,8761,3327,166,871
0.22,0.2143748440229598,0.8283510125361621,0.3406026962727994,0.7395764394440768,0.7839637259901194,8940,3148,178,859
0.23,0.22219321148825066,0.8206364513018322,0.34970207520032875,0.7535572468563865,0.7870968490791093,9109,2979,186,851
0.24,0.23083242059145673,0.8129218900675024,0.35956493921944976,0.767620780939775,0.7902713355036387,9279,2809,194,843
0.25,0.23705179282868527,0.8032786885245902,0.36607339046363435,0.7782097948378557,0.7907442416812229,9407,2681,204,833
0.26,0.24452986398580723,0.7974927675988428,0.3742928264313193,0.788633355393779,0.7930630614963109,9533,2555,210,827
0.27,0.2523191094619666,0.7868852459016393,0.38211191758370405,0.7999669093315684,0.7934260776166039,9670,2418,221,816
0.28,0.2592117910925985,0.7801350048216008,0.3891293891293891,0.8087359364659166,0.7944354706437586,9776,2312,228,809
0.29,0.26591511936339524,0.7733847637415622,0.39575622995312115,0.8168431502316347,0.7951139569865984,9874,2214,235,802
0.3,0.2730093071354705,0.76374156219865,0.4022346368715084,0.825529450694904,0.7946355064467769,9979,2109,245,792
0.31,0.2791279485346676,0.7531340405014465,0.4073011734028683,0.8331403044341495,0.793137172467798,10071,2017,256,781
0.32,0.28603268945022287,0.742526518804243,0.41297935103244837,0.8409993381866314,0.7917629284954373,10166,1922,267,770
0.33,0.2945258288357749,0.7367405978784957,0.42082071054805836,0.8486101919258769,0.7926753949021863,10258,1830,273,764
0.34,0.30305466237942125,0.7270973963355835,0.4278014184397163,0.8565519523494375,0.7918246743425105,10354,1734,283,754
0.35000000000000003,0.30852390852390854,0.7155255544840887,0.431144683323649,0.8624255459960292,0.7889755502400589,10425,1663,295,742
0.36,0.3154275891706059,0.7078109932497589,0.43638525564803804,0.8682164129715421,0.7880137031106504,10495,1593,303,734
0.37,0.320729537366548,0.695274831243973,0.4389649923896499,0.87367637326274,0.7844756022533566,10561,1527,316,721
0.38,0.3307013469577334,0.686595949855352,0.4463949843260188,0.8807908669755129,0.7836934084154324,10647,1441,325,712
0.39,0.3380009657170449,0.6750241080038573,0.45045045045045046,0.8865817339510258,0.7808029209774415,10717,1371,337,700
