Region,Country,City
Asia,afghanistan,Bagram
Asia,afghanistan,Chaman
Asia,afghanistan,Charikar
Asia,afghanistan,Farah
Asia,afghanistan,Guzarah
Asia,afghanistan,Herat
Asia,afghanistan,Injerak
Asia,afghanistan,Jalalabad
Asia,afghanistan,Kabul
Asia,afghanistan,Kandahar
Asia,afghanistan,Khanabad
Asia,afghanistan,Kunduz
Asia,afghanistan,Lashkar Gah
Asia,afghanistan,Maymana
Asia,afghanistan,Mazar i sharif
Asia,afghanistan,Puli Khumri
Asia,afghanistan,Pul-i-Alam
Asia,afghanistan,Sheberghan
Asia,afghanistan,Taloqan
Asia,afghanistan,Zaranj
Asia,philippines,Angeles [San Fernando]
Asia,philippines,Apalit
Asia,philippines,Arayat
Asia,philippines,Bacolod
Asia,philippines,Baguio
Asia,philippines,Balanga
Asia,philippines,Bamban
Asia,philippines,Batangas City
Asia,philippines,Bayambang
Asia,philippines,Bayombong
Asia,philippines,Binangonan
Asia,philippines,Butuan
Asia,philippines,Cabanatuan
Asia,philippines,Cadiz
Asia,philippines,Cagayan de Oro
Asia,philippines,Calbayog
Asia,philippines,Calumpit
Asia,philippines,Candelaria
Asia,philippines,Catbalogan
Asia,philippines,Cawit
Asia,philippines,Cebu City
Asia,philippines,Cotabato
Asia,philippines,Daet
Asia,philippines,Dagupan
Asia,philippines,Davao City
Asia,philippines,Digos
Asia,philippines,Dinalaoan
Asia,philippines,Dinalupihan
Asia,philippines,Dipolog
Asia,philippines,Dumaguete
Asia,philippines,Gapan
Asia,philippines,General Santos
Asia,philippines,Hagonoy
Asia,philippines,Iligan
Asia,philippines,Iloilo City
Asia,philippines,Iriga
Asia,philippines,Jolo
Asia,philippines,Kalibo
Asia,philippines,Koronadal
Asia,philippines,Laoag
Asia,philippines,Legazpi
Asia,philippines,Lemery
Asia,philippines,Lingayen
Asia,philippines,Lipa
Asia,philippines,Lubao
Asia,philippines,Lucena
Asia,philippines,Macabebe
Asia,philippines,Marawi
Asia,philippines,Masbate City
Asia,philippines,Naga
Asia,philippines,Nasugbu
Asia,philippines,Olongapo
Asia,philippines,Orani
Asia,philippines,Ormoc
Asia,philippines,Ozamiz
Asia,philippines,Pagadian
Asia,philippines,Polomolok
Asia,philippines,Puerto Princesa
Asia,philippines,Quezon City [Manila]
Asia,philippines,Roxas City
Asia,philippines,Santa Cruz
Asia,philippines,Santiago
Asia,philippines,San Carlos
Asia,philippines,San Fernando
Asia,philippines,San Jose
Asia,philippines,San Pablo
Asia,philippines,Sorsogon City
Asia,philippines,Subic
Asia,philippines,Surigao City
Asia,philippines,Tabaco
Asia,philippines,Tacloban
Asia,philippines,Tagbilaran
Asia,philippines,Tagum
Asia,philippines,Tanay
Asia,philippines,Tarlac City
Asia,philippines,Trece Martires
Asia,philippines,Tuguegarao
Asia,philippines,Urdaneta
Asia,philippines,Valencia
Asia,philippines,Vigan
Asia,philippines,Zamboanga City
Africa,senegal,Bambey
Africa,senegal,Bignona
Africa,senegal,Dagana
Africa,senegal,Dahra Djoloff
Africa,senegal,Dakar
Africa,senegal,Darou Mousti
Africa,senegal,Diourbel
Africa,senegal,Fatick
Africa,senegal,Gossas
Africa,senegal,Guinguinéo
Africa,senegal,Kaffrine
Africa,senegal,Kaolack
Africa,senegal,Kolda
Africa,senegal,Louga
Africa,senegal,Madina Gounass
Africa,senegal,MBour
Africa,senegal,Richard-Toll
Africa,senegal,Saint-Louis
Africa,senegal,Sédhiou
Africa,senegal,Tambacounda
Africa,senegal,Thiès
Africa,senegal,Tivaouane
Africa,senegal,Touba
Africa,senegal,Vélingara
Africa,senegal,Ziguinchor
Africa,somalia,Baidoa
Africa,somalia,Beledweyne
Africa,somalia,Berbera
Africa,somalia,Borama
Africa,somalia,Bosaso
Africa,somalia,Burao
Africa,somalia,Erigavo
Africa,somalia,Galkayo
Africa,somalia,Garoowe
Africa,somalia,Hargeisa
Africa,somalia,Kismayo
Africa,somalia,Las Anod
Africa,somalia,Merca
Africa,somalia,Mogadishu
Africa,somalia,Qardho City
Asia,sri_lanka,Akkaraipattu
Asia,sri_lanka,Ambalangoda
Asia,sri_lanka,Badulla
Asia,sri_lanka,Batticaloa
Asia,sri_lanka,Colombo
Asia,sri_lanka,Galle
Asia,sri_lanka,Gampola
Asia,sri_lanka,Horana
Asia,sri_lanka,Jaffna
Asia,sri_lanka,Kalmunai
Asia,sri_lanka,Kandy
Asia,sri_lanka,Matale
Asia,sri_lanka,Matara
Asia,sri_lanka,Poojapitiya
Asia,sri_lanka,Rathnapura
Asia,sri_lanka,Sammanturai
Asia,sri_lanka,Tamaraivillu
Asia,sri_lanka,Trincomalee
Asia,sri_lanka,Valaichchenai EP
Asia,sri_lanka,Wennappuwa
Africa,algeria,Adrar
Africa,algeria,Aflou
Africa,algeria,Ain Beida
Africa,algeria,Ain Defla
Africa,algeria,Ain Fakroun
Africa,algeria,Ain Mlila
Africa,algeria,Aïn Oulmane
Africa,algeria,Ain Oussara
Africa,algeria,Ain Sefra
Africa,algeria,Ain Temouchent
Africa,algeria,Aïn Touta
Africa,algeria,Ain Turk
Africa,algeria,Algiers
Africa,algeria,Ali Mendjeli
Africa,algeria,Annaba
Africa,algeria,Arzew
Africa,algeria,Ash Shalif
Africa,algeria,Barika
Africa,algeria,Bashar
Africa,algeria,Batna
Africa,algeria,Bejaia
Africa,algeria,Berrouaghia
Africa,algeria,Bir El Ater
Africa,algeria,Biskra
Africa,algeria,Blida
Africa,algeria,Bordj Bou Arreridjj
Africa,algeria,Bordj Menaiel
Africa,algeria,Boufarik
Africa,algeria,Bougara
Africa,algeria,Bouira
Africa,algeria,Bou Saada
Africa,algeria,Chelghoum Laid
Africa,algeria,Cheria
Africa,algeria,Chettia
Africa,algeria,Constantine
Africa,algeria,Djelfa
Africa,algeria,El Abiodh Sidi Cheikh
Africa,algeria,El Eulma
Africa,algeria,El Khroub
Africa,algeria,El Menia
Africa,algeria,El Oued
Africa,algeria,Frenda
Africa,algeria,Ghardaia
Africa,algeria,Guelma
Africa,algeria,Guerrara
Africa,algeria,Hassi Bahbah
Africa,algeria,Hassi Bounif
Africa,algeria,Jijel
Africa,algeria,Khemis El Khechna
Africa,algeria,Khemis Miliana
Africa,algeria,Khenchela
Africa,algeria,Kolea القليعة
Africa,algeria,Ksar Chellala
Africa,algeria,Ksar El Boukhari
Africa,algeria,Laghouat
Africa,algeria,Larbaa
Africa,algeria,Maghnia
Africa,algeria,Mascara
Africa,algeria,Mecheria
Africa,algeria,Medea
Africa,algeria,Meftah
Africa,algeria,Messaad
Africa,algeria,Mila
Africa,algeria,Mohammadia
Africa,algeria,Mostaganem
Africa,algeria,M'Daourouch
Africa,algeria,M'Sila
Africa,algeria,Oran
Africa,algeria,Ouargla
Africa,algeria,Oued Rhiou
Africa,algeria,Ouled Djellal
Africa,algeria,Oum El Bouaghi
Africa,algeria,Ras El Oued
Africa,algeria,Relizane
Africa,algeria,Saida
Africa,algeria,Sedrata
Africa,algeria,Setif
Africa,algeria,Sidi Aissa
Africa,algeria,Sidi Bel Abbes
Africa,algeria,Sig
Africa,algeria,Skikda
Africa,algeria,Sougueur
Africa,algeria,Souk Ahras
Africa,algeria,Tadjenanet
Africa,algeria,Tebessa
Africa,algeria,Tiaret
Africa,algeria,Tinduf
Africa,algeria,Tissemsilt
Africa,algeria,Tizi Ouzou
Africa,algeria,Tlemcen
Africa,algeria,Touggourt
Africa,algeria,Tulqa
Oceania,solomon_islands,Honiara
Africa,south_sudan,Bor
Africa,south_sudan,Juba
Africa,south_sudan,Malakal
Africa,south_sudan,Renk
Africa,south_sudan,Wau
Africa,south_sudan,Yambio
Africa,south_sudan,Yei
Latin America and the Caribbean,suriname,Paramaribo
Africa,swaziland,Manzini
Africa,swaziland,Matsapha
Africa,angola,Andulo
Africa,angola,Bailundo
Africa,angola,Balombo
Africa,angola,Benguela
Africa,angola,Cabinda
Africa,angola,Caconda
Africa,angola,Cafunfo
Africa,angola,Calilongue
Africa,angola,Calulo
Africa,angola,Camacupa
Africa,angola,Caxito
Africa,angola,Cazombo
Africa,angola,Chitembo
Africa,angola,Cubal
Africa,angola,Dundo
Africa,angola,Gabela
Africa,angola,Ganda
Africa,angola,Huambo
Africa,angola,Kuito
Africa,angola,Lobito
Africa,angola,Luanda
Africa,angola,Luau
Africa,angola,Lubango
Africa,angola,Lucapa
Africa,angola,Luena
Africa,angola,Malanje
Africa,angola,Matala
Africa,angola,Menongue
Africa,angola,M'banza Congo
Africa,angola,Namibe
Africa,angola,Negage
Africa,angola,N'dalatando
Africa,angola,Panguila
Africa,angola,Porto Amboim
Africa,angola,Saurimo
Africa,angola,Soyo
Africa,angola,Sumbe
Africa,angola,Uíge
Africa,angola,N/A
Africa,angola,Vila Nova do Seles
Africa,angola,Waku Kungo
Africa,south_africa,Atlantis
Africa,south_africa,Azaadville
Africa,south_africa,Bethlehem
Africa,south_africa,Bloemfontein
Africa,south_africa,Botshabelo
Africa,south_africa,Botshabelo Rural
Africa,south_africa,Bronville
Africa,south_africa,Cape Town
Africa,south_africa,Centurion
Africa,south_africa,Daveyton
Africa,south_africa,De Rust Caravan Park
Africa,south_africa,Diepsloot
Africa,south_africa,Durban
Africa,south_africa,East London
Africa,south_africa,Edendale
Africa,south_africa,eGobhoza
Africa,south_africa,eHlau-Hlau
Africa,south_africa,Emalahleni
Africa,south_africa,eMbalenhle
Africa,south_africa,Ermelo
Africa,south_africa,Evaton
Africa,south_africa,Ezakheni
Africa,south_africa,Ga-Rankuwa
Africa,south_africa,George
Africa,south_africa,Johannesburg
Africa,south_africa,Jouberton
Africa,south_africa,Khutsong
Africa,south_africa,Kimberley
Africa,south_africa,Klipgat
Africa,south_africa,Komani (Queenstown)
Africa,south_africa,Kroonstad
Africa,south_africa,Kutlwanong
Africa,south_africa,KwaMhlanga
Africa,south_africa,KwaNobuhle 1
Africa,south_africa,Lenasia
Africa,south_africa,Lenasia South
Africa,south_africa,Lilian Ngoyi Village
Africa,south_africa,Mafikeng
Africa,south_africa,Makhanda (Grahamstown)
Africa,south_africa,Mankweng
Africa,south_africa,Middelburg
Africa,south_africa,Midrand
Africa,south_africa,Mnandi A.H.
Africa,south_africa,Modderspruit
Africa,south_africa,Mokopane
Africa,south_africa,Mossel Bay
Africa,south_africa,Mpumalanga
Africa,south_africa,Naas
Africa,south_africa,Osizweni
Africa,south_africa,Oudtshoorn
Africa,south_africa,Paardekraal
Africa,south_africa,Paarl
Africa,south_africa,Phuthaditjhaba
Africa,south_africa,Pietermaritzburg
Africa,south_africa,Polokwane
Africa,south_africa,Port Elizabeth
Africa,south_africa,Potchefstroom
Africa,south_africa,Pretoria
Africa,south_africa,Rustenburg
Africa,south_africa,Salubindza
Africa,south_africa,Sasolburg
Africa,south_africa,Sikhalasenkosi
Africa,south_africa,Somerset West
Africa,south_africa,Standerton
Africa,south_africa,Stanger
Africa,south_africa,Stellenbosch
Africa,south_africa,Stesa AH
Africa,south_africa,Tongaat
Africa,south_africa,Tsakane
Africa,south_africa,Uitenhage
Africa,south_africa,Vanderbijlpark
Africa,south_africa,Vosman
Africa,south_africa,Wells Estate
Africa,south_africa,Worcester
Africa,tanzania,Arusha
Africa,tanzania,Bukala
Africa,tanzania,Bukoba
Africa,tanzania,Bunda
Africa,tanzania,Dar es Salaam
Africa,tanzania,DAR ES SALAAM
Africa,tanzania,Dodoma
Africa,tanzania,Geita
Africa,tanzania,Iwambi
Africa,tanzania,Kahama
Africa,tanzania,Katoro
Africa,tanzania,Kilima Hewa
Africa,tanzania,Kyela
Africa,tanzania,Makambako
Africa,tanzania,Mbeya
Africa,tanzania,Mirerani
Africa,tanzania,Morogoro
Africa,tanzania,Mpanda
Africa,tanzania,Mtwara
Africa,tanzania,Murubona
Africa,tanzania,Musoma
Africa,tanzania,Mwanza
Africa,tanzania,Nansio
Africa,tanzania,Ndiuka
Africa,tanzania,Nzega
Africa,tanzania,Picha Ya Ndege
Africa,tanzania,Shinyanga
Africa,tanzania,Singida
Africa,tanzania,Songea
Africa,tanzania,Sumbawanga
Africa,tanzania,Tabora
Africa,tanzania,Tanga
Africa,tanzania,N/A
Africa,tanzania,Vwawa
Africa,tanzania,Zanzibar City
Africa,sudan,Abu Zabad
Africa,sudan,Ad-Damazin
Africa,sudan,ad-Damer
Africa,sudan,Ad Da'ein
Africa,sudan,Al-Fashir
Africa,sudan,Al Hasahisa
Africa,sudan,Al Hilaliyah
Africa,sudan,Al Kamilin
Africa,sudan,Al Managil
Africa,sudan,Al-Qadarif
Africa,sudan,Al Rahad
Africa,sudan,Al-Ubayyid
Africa,sudan,Atbara
Africa,sudan,Baqayr al Quddami
Africa,sudan,Barah
Africa,sudan,Dilling
Africa,sudan,Dongola
Africa,sudan,El Suki
Africa,sudan,En Nahud
Africa,sudan,Er Roseires
Africa,sudan,For Baranga
Africa,sudan,Geneina
Africa,sudan,Ghaliya
Africa,sudan,Giad Industrial Complex
Africa,sudan,Jebel Aulia
Africa,sudan,Kaduqli
Africa,sudan,Kas
Africa,sudan,Kassala
Africa,sudan,Kebkabiya
Africa,sudan,Khartoum
Africa,sudan,Khashm El Girba
Africa,sudan,Kosti
Africa,sudan,Mellit
Africa,sudan,Muglad
Africa,sudan,New Halfa
Africa,sudan,Nyala
Africa,sudan,Port Sudan
Africa,sudan,Rabak
Africa,sudan,Sennar
Africa,sudan,Shendi
Africa,sudan,Singa
Africa,sudan,Umm Ruwaba
Africa,sudan,N/A
Africa,sudan,أش شلال
Africa,sudan,Wad Madanī
Africa,sudan,Zalingei
Latin America and the Caribbean,belize,Belize City
Asia,tajikistan,Danghara
Asia,tajikistan,Dushanbe
Asia,tajikistan,Ghafurov
Asia,tajikistan,Hisor
Asia,tajikistan,Isfara
Asia,tajikistan,Khistevarz
Asia,tajikistan,Khorugh
Asia,tajikistan,Khujand
Asia,tajikistan,Kulob
Asia,tajikistan,Proletar
Asia,tajikistan,Qabodiyon
Asia,tajikistan,Shahrinav
Asia,tajikistan,N/A
Asia,tajikistan,Vahdat
Asia,tajikistan,Vakhsh
Asia,syria,Abu Kamal
Asia,syria,Aleppo
Asia,syria,Al-Hasakah
Asia,syria,Al Qurayya
Asia,syria,Al-Tabqah
Asia,syria,Ar Raqqah
Asia,syria,As Safirah
Asia,syria,As Suwayda
Asia,syria,Baniyas
Asia,syria,Bza`a
Asia,syria,Damascus
Asia,syria,Deir Ez Zor
Asia,syria,Halfaya
Asia,syria,Hama
Asia,syria,Homs
Asia,syria,Idlib
Asia,syria,Jablah
Asia,syria,Kobani
Asia,syria,Latakia
Asia,syria,Manbij
Asia,syria,Qamishli
Asia,syria,Tartus
Asia,syria,`Uthman
Asia,syria,Yaaroubia
Africa,togo,Aného
Africa,togo,Anié
Africa,togo,Atakpamé
Africa,togo,Bassar
Africa,togo,Kara
Africa,togo,Kpalimé
Africa,togo,Lomé
Africa,togo,Notsé
Africa,togo,Sokodé
Africa,togo,Tchamba
Africa,togo,Tsévié
Asia,timor_leste,Dili
Asia,thailand,Bangkok
Asia,thailand,Ban Map Ta Phut
Asia,thailand,Chachoengsao
Asia,thailand,Chanthaburi
Asia,thailand,Chiang Mai
Asia,thailand,Chiang Rai
Asia,thailand,Chonburi
Asia,thailand,Chumphon
Asia,thailand,Hat Yai
Asia,thailand,Kamphaeng Phet
Asia,thailand,Kanchanaburi
Asia,thailand,Khon Kaen
Asia,thailand,Laem Chabang
Asia,thailand,Lampang
Asia,thailand,Lopburi
