Region,Country,City,Population,SizeClass
Asia,afghanistan,Bagram,98120.04371858899,Small
Asia,afghanistan,Chaman,175884.146438385,Small
Asia,afghanistan,Charikar,182398.35578497598,Small
Asia,afghanistan,Farah,135327.62085285198,Small
Asia,afghanistan,Guzarah,164797.329927824,Small
Asia,afghanistan,Herat,1333792.33589888,Large
Asia,afghanistan,Injerak,117529.575202353,Small
Asia,afghanistan,Jalalabad,483710.41592180997,Small
Asia,afghanistan,Kabul,6003884.040119753,Very large
Asia,afghanistan,Kandahar,735208.1559675911,Medium
Asia,afghanistan,Khanabad,86595.19128613599,Small
Asia,afghanistan,Kunduz,251980.48075592902,Small
Asia,afghanistan,Lashkar Gah,170033.619357708,Small
Asia,afghanistan,Maymana,117099.407992388,Small
Asia,afghanistan,Mazar i sharif,720381.470391002,Medium
Asia,afghanistan,Pul-i-Alam,52538.374222971004,Small
Asia,afghanistan,Puli Khumri,198291.908582029,Small
Asia,afghanistan,Sheberghan,155221.40576137303,Small
Asia,afghanistan,Taloqan,296041.749417691,Small
Asia,afghanistan,Zaranj,38938.463229944,Small
Asia,philippines,Angeles [San Fernando],1418673.8357973571,Large
Asia,philippines,Apalit,80399.321988886,Small
Asia,philippines,Arayat,70123.90179288699,Small
Asia,philippines,Bacolod,650193.823274142,Medium
Asia,philippines,Baguio,551270.0278472019,Medium
Asia,philippines,Balanga,124660.75168807,Small
Asia,philippines,Bamban,70396.790604498,Small
Asia,philippines,Batangas City,380940.860458104,Small
Asia,philippines,Bayambang,62112.496864796,Small
Asia,philippines,Bayombong,79494.21943808401,Small
Asia,philippines,Binangonan,282234.22432833497,Small
Asia,philippines,Butuan,215504.703511118,Small
Asia,philippines,Cabanatuan,240676.77051460702,Small
Asia,philippines,Cadiz,59057.822382416,Small
Asia,philippines,Cagayan de Oro,936361.736791319,Medium
Asia,philippines,Calbayog,76758.265226598,Small
Asia,philippines,Calumpit,104103.16739801,Small
Asia,philippines,Candelaria,67969.471922813,Small
Asia,philippines,Catbalogan,72448.370022129,Small
Asia,philippines,Cawit,56274.44391903901,Small
Asia,philippines,Cebu City,3113671.4430378554,Large
Asia,philippines,Cotabato,205188.546620208,Small
Asia,philippines,Daet,78933.705551267,Small
Asia,philippines,Dagupan,645896.553251745,Medium
Asia,philippines,Davao City,1068197.033193121,Large
Asia,philippines,Digos,87322.43142630899,Small
Asia,philippines,Dinalaoan,65750.758925899,Small
Asia,philippines,Dinalupihan,66210.625569057,Small
Asia,philippines,Dipolog,122698.079204821,Small
Asia,philippines,Dumaguete,190270.707813998,Small
Asia,philippines,Gapan,121494.744636335,Small
Asia,philippines,General Santos,445851.178117288,Small
Asia,philippines,Hagonoy,134452.799977965,Small
Asia,philippines,Iligan,325196.16927935206,Small
Asia,philippines,Iloilo City,544067.4903006309,Medium
Asia,philippines,Iriga,64128.64892275099,Small
Asia,philippines,Jolo,59866.524024045,Small
Asia,philippines,Kalibo,76563.656337189,Small
Asia,philippines,Koronadal,114251.028935173,Small
Asia,philippines,Laoag,82046.153919198,Small
Asia,philippines,Legazpi,252735.34091367698,Small
Asia,philippines,Lemery,91355.113916052,Small
Asia,philippines,Lingayen,131619.392055783,Small
Asia,philippines,Lipa,314617.39336524,Small
Asia,philippines,Lubao,159815.86422627702,Small
