Region,CitySizeClass,Cities,TotalPop,DeprivedPop,PctDeprived
Africa,Large,69,148624430.14720735,66562928.677787766,44.785994208260036
Africa,Medium,77,52499168.086333774,21035867.01405143,40.068953053614855
Africa,Megacity,4,61136337.93715794,35204703.40275285,57.583925682529056
Africa,Small,1325,184228788.10374567,63033497.788125016,34.21479261570599
Africa,Very large,10,65420664.10228433,37235260.204226576,56.91666496385568
Asia,Large,132,267510889.4259144,26429506.170356885,9.87978703486625
Asia,Medium,147,103301834.75524047,9123031.48845063,8.83143219098325
Asia,Megacity,13,285007676.60298854,52327325.74821372,18.35997064075748
Asia,Small,2372,347075245.81973255,25170537.310872898,7.252184537512717
Asia,Very large,15,105414680.24671581,12268749.168061301,11.638558443043356
Europe,Small,5,775997.02032396,0.0,0.0
Latin America and the Caribbean,Large,51,105219905.21511582,18908789.23969639,17.97073396049778
Latin America and the Caribbean,Medium,59,41098444.99225087,3744398.129433215,9.110802440674394
Latin America and the Caribbean,Megacity,6,81340940.46620136,9773052.669643331,12.014924604546726
Latin America and the Caribbean,Small,823,110710946.72095408,14127646.953979503,12.760840162976935
Oceania,Small,5,894053.720816748,0.0,0.0
