country,k_thr,tau,total_segments,rf_deprived_segments,mn_deprived_segments,rf_deprived_pop,mn_deprived_pop,total_pop
angola,3,0.1,16222,7429,6233,9490744.786406256,10318861.926287254,20650829.648216836
cameroon,3,0.1,10141,3222,3855,4300646.212809186,7129816.290959898,15198621.01101642
benin,3,0.1,4612,498,1226,398578.99227366,1406823.190736141,4673285.7469121665
burkina_faso,3,0.1,5322,3312,1345,3014083.1182127493,1539560.2194569989,5103500.920221765
botswana,3,0.1,507,27,42,23446.048594085,41983.703425800995,549454.002392059
burundi,3,0.1,1348,582,319,624197.862321557,662053.997799812,1714038.352422793
central_african_republic,3,0.1,868,491,421,989593.631405213,1174676.949833007,1601841.313697086
chad,3,0.1,3716,712,1256,619282.656271341,1566745.8780477392,3661678.152726385
ghana,3,0.1,12130,1144,3974,1518667.515258712,6915876.331811406,15943320.202505251
gambia,3,0.1,1505,40,122,27782.571619514998,131048.02201469401,1446656.488261111
comoros,3,0.1,220,138,71,156892.55495845797,235660.374314224,394719.234936952
djibouti,3,0.1,301,155,54,166737.79081241498,84891.77530251199,420632.270088937
cote_d_ivoire,3,0.1,8162,2167,2082,2345349.917980085,3956438.2239314234,10639014.760486715
gabon,3,0.1,356,42,259,73910.783703347,597287.5713650361,745404.3793945231
democratic_republic_of_the_congo,3,0.1,31029,15533,6546,18324953.302096408,17070687.634416226,43591738.808713526
equatorial_guinea,3,0.1,491,72,187,241243.395520473,710801.863276033,1182009.9697834991
ethiopia,3,0.1,12094,4702,3337,5186117.37230921,5454844.788528956,14999047.86558796
eritrea,3,0.1,243,49,21,47789.151316098,20436.032385404,253661.679412561
guinea_bissau,3,0.1,549,1,153,664.085087043,321389.42487573903,780204.450061094
guinea,3,0.1,3587,1013,1676,1119291.325451435,2801700.1486817813,5008076.957590911
kenya,3,0.1,6162,2403,2147,4411101.836341731,5151326.165989937,10892339.03186487
lesotho,3,0.1,224,2,13,2128.876881538,13071.759106454998,234325.79196567798
liberia,3,0.1,876,39,431,84988.08418611203,1230783.89756442,2216567.2099406663
madagascar,3,0.1,872,459,599,2253745.715725423,3034246.191929542,3833274.618120391
