country,blocks_total,blocks_with_rf,blocks_with_ssi,blocks_used,blocks_used_space,status
democratic_republic_of_the_congo,31029,31029,25865,25865,25865,ok
south_africa,27136,27136,26729,26729,26729,ok
sudan,16340,16340,11346,11346,11346,ok
ethiopia,12094,12094,5820,5820,5820,ok
nigeria,64327,64327,62000,62000,62000,ok
niger,4747,4747,4599,4599,4599,ok
mozambique,6041,6041,5915,5915,5915,ok
angola,16222,16222,891,891,891,ok
namibia,347,347,346,346,346,ok
mauritania,1828,1828,1802,1802,1802,ok
somalia,7648,7648,6524,6524,6524,ok
egypt,59492,59492,55178,55178,55178,ok
tanzania,9739,9739,9055,9055,9055,ok
zambia,6357,6357,2662,2662,2662,ok
central_african_republic,868,868,811,811,811,ok
cameroon,10141,10141,9957,9957,9957,ok
kenya,6162,6162,5947,5947,5947,ok
republic_of_congo,3955,3955,3467,3467,3467,ok
burkina_faso,5322,5322,5322,5322,5322,ok
cote_d_ivoire,8162,8162,7954,7954,7954,ok
ghana,12130,12130,12081,12081,12081,ok
guinea,3587,3587,3558,3558,3558,ok
uganda,4645,4645,4641,4641,4641,ok
senegal,8269,8269,8186,8186,8186,ok
malawi,1727,1727,812,812,812,ok
benin,4612,4612,4591,4591,4591,ok
liberia,876,876,876,876,876,ok
togo,3041,3041,3035,3035,3035,ok
sierra_leone,1334,1334,1328,1328,1328,ok
rwanda,1270,1270,1270,1270,1270,ok
burundi,1348,1348,1269,1269,1269,ok
gambia,1505,1505,1505,1505,1505,ok
djibouti,301,301,299,299,299,ok
