Country,Threshold,TotalSegments,RF_Deprived_Seg,SSI_Deprived_Seg,SpaceDef_Deprived_Seg,AnyPixel_Deprived_Seg,RF_Deprived_Pop,SSI_Deprived_Pop,SpaceDef_Deprived_Pop,AnyPixel_Deprived_Pop,Total_Pop,Status
democratic_republic_of_the_congo,0.1,31029,23196,23259,13770,23248,27911742.949422978,34886606.06245163,21022697.592041433,34862924.53687878,43591738.80871353,OK
democratic_republic_of_the_congo,0.2,31029,23196,22944,13423,22887,27911742.949422978,34383527.60457822,19584678.170455918,34132006.1878452,43591738.80871353,OK
democratic_republic_of_the_congo,0.3,31029,23196,22411,13027,22283,27911742.949422978,33542409.72380981,18082344.881199,33180951.174072724,43591738.80871353,OK
south_africa,0.1,27136,14843,23695,17143,23604,14259662.039745547,27212517.585658457,19197512.755961657,27104679.883191966,30289706.700292468,OK
south_africa,0.2,27136,14843,22320,16335,21945,14259662.039745547,25710898.79846384,17610506.651710916,25137843.931558985,30289706.700292468,OK
south_africa,0.3,27136,14843,20897,15623,20217,14259662.039745547,23866996.837899745,16387419.616846792,22722289.595276702,30289706.700292468,OK
sudan,0.1,16340,11129,10879,9955,10876,9307861.73609874,10063106.167427158,9029514.731169675,10052796.59744846,15147905.022114927,OK
sudan,0.2,16340,11129,10781,9619,10764,9307861.73609874,9951761.374688393,8544251.265663669,9892641.064615367,15147905.022114927,OK
sudan,0.3,16340,11129,10601,9276,10550,9307861.73609874,9727633.140091911,8154441.533825358,9628228.131793216,15147905.022114927,OK
ethiopia,0.1,12094,7011,5658,5227,5658,7454895.301824661,6825138.961041707,6110943.416656317,6825138.961041707,14999047.865587963,OK
ethiopia,0.2,12094,7011,5638,5063,5631,7454895.301824661,6773333.419078095,5663296.586698699,6765506.078352381,14999047.865587963,OK
ethiopia,0.3,12094,7011,5589,4899,5560,7454895.301824661,6713770.707259278,5214966.155977767,6636630.046818118,14999047.865587963,OK
nigeria,0.1,64327,28358,57624,17085,57577,31803913.240793403,83745217.18477221,23248603.86971004,83381054.62359662,91597687.98445147,OK
nigeria,0.2,64327,28358,56496,15803,56273,31803913.240793403,81273639.46707717,19820759.120439406,80540217.0316138,91597687.98445147,OK
nigeria,0.3,64327,28358,54200,14578,53641,31803913.240793403,76969272.87001368,17029413.73180765,75268462.99567473,91597687.98445147,OK
niger,0.1,4747,3472,4511,3879,4511,2885990.012733085,4443842.911322968,3718213.417246092,4443842.911322968,4622590.486370739,OK
niger,0.2,4747,3472,4496,3770,4493,2885990.012733085,4413828.876030298,3470809.428470706,4409833.997527137,4622590.486370739,OK
niger,0.3,4747,3472,4470,3649,4453,2885990.012733085,4382823.798645691,3221296.6353985807,4344984.382878397,4622590.486370739,OK
mozambique,0.1,6041,3632,5387,3902,5383,4411877.493971681,6588815.879220901,4969266.34138155,6581773.633908871,7310755.477268714,OK
mozambique,0.2,6041,3632,5280,3740,5273,4411877.493971681,6416539.399311366,4683056.410676069,6407344.483797491,7310755.477268714,OK
mozambique,0.3,6041,3632,5121,3587,5091,4411877.493971681,6240586.786545958,4438197.000818005,6176143.684559988,7310755.477268714,OK
angola,0.1,16222,10458,799,620,799,12619480.087913273,1614432.624426225,1301351.055943437,1614432.624426225,20650829.648216836,OK
angola,0.2,16222,10458,783,587,781,12619480.087913273,1543827.795569255,1162459.1300805542,1520928.7785240752,20650829.648216836,OK
angola,0.3,16222,10458,757,567,753,12619480.087913273,1478638.591449318,1128928.394330135,1467668.830742514,20650829.648216836,OK
namibia,0.1,347,217,314,274,310,250341.076705335,377226.42412410397,332873.34303806105,372977.37940164196,405575.736074747,OK
namibia,0.2,347,217,300,262,290,250341.076705335,360587.893111637,317504.702036847,347290.64339792,405575.736074747,OK
namibia,0.3,347,217,281,252,276,250341.076705335,336608.73186771,304678.879933064,331008.547230195,405575.736074747,OK
mauritania,0.1,1828,934,1245,1173,1244,795926.20751279,1218588.005516741,1115613.4123130739,1214850.9642744008,1706446.892726493,OK
mauritania,0.2,1828,934,1190,1109,1183,795926.20751279,1140358.576818234,1018484.4636082479,1128883.190795713,1706446.892726493,OK
mauritania,0.3,1828,934,1128,1055,1105,795926.20751279,1062738.777954298,960318.530994495,1025983.8442668158,1706446.892726493,OK
somalia,0.1,7648,6263,5106,4810,5105,6411910.872396017,6079511.295999288,5593150.5635809405,5967313.762166653,8295293.609712728,OK
somalia,0.2,7648,6263,5067,4738,5060,6411910.872396017,5879304.74281895,5402328.470222745,5865071.774454884,8295293.609712728,OK
