country,Rule / Comparison,τ (threshold),precision,recall,F1,balanced_acc,n (blocks)
democratic_republic_of_the_congo,SSI (any-pixel),0.1,0.743,0.914,0.82,0.529,25865
democratic_republic_of_the_congo,SSI (any-pixel),0.2,0.751,0.909,0.823,0.545,25865
democratic_republic_of_the_congo,SSI (any-pixel),0.3,0.762,0.899,0.825,0.57,25865
democratic_republic_of_the_congo,SSI (mean-SSI),0.1,0.743,0.914,0.82,0.528,25865
democratic_republic_of_the_congo,SSI (mean-SSI),0.2,0.749,0.91,0.822,0.542,25865
democratic_republic_of_the_congo,SSI (mean-SSI),0.3,0.759,0.9,0.823,0.562,25865
democratic_republic_of_the_congo,SSI (SpaceDef only),0.1,0.905,0.66,0.763,0.736,25865
democratic_republic_of_the_congo,SSI (SpaceDef only),0.2,0.919,0.653,0.764,0.749,25865
democratic_republic_of_the_congo,SSI (SpaceDef only),0.3,0.929,0.641,0.759,0.754,25865
south_africa,SSI (any-pixel),0.1,0.564,0.92,0.7,0.54,26729
south_africa,SSI (any-pixel),0.2,0.597,0.904,0.719,0.591,26729
south_africa,SSI (any-pixel),0.3,0.636,0.888,0.741,0.643,26729
south_africa,SSI (mean-SSI),0.1,0.563,0.921,0.699,0.538,26729
south_africa,SSI (mean-SSI),0.2,0.588,0.907,0.714,0.578,26729
south_africa,SSI (mean-SSI),0.3,0.618,0.892,0.73,0.62,26729
south_africa,SSI (SpaceDef only),0.1,0.733,0.868,0.795,0.747,26729
south_africa,SSI (SpaceDef only),0.2,0.764,0.862,0.81,0.773,26729
south_africa,SSI (SpaceDef only),0.3,0.788,0.85,0.818,0.79,26729
sudan,SSI (any-pixel),0.1,0.642,0.982,0.777,0.531,11346
sudan,SSI (any-pixel),0.2,0.648,0.981,0.781,0.543,11346
sudan,SSI (any-pixel),0.3,0.66,0.978,0.788,0.565,11346
sudan,SSI (mean-SSI),0.1,0.642,0.982,0.777,0.531,11346
sudan,SSI (mean-SSI),0.2,0.647,0.981,0.78,0.541,11346
sudan,SSI (mean-SSI),0.3,0.657,0.978,0.786,0.559,11346
sudan,SSI (SpaceDef only),0.1,0.694,0.971,0.81,0.626,11346
sudan,SSI (SpaceDef only),0.2,0.716,0.968,0.823,0.661,11346
sudan,SSI (SpaceDef only),0.3,0.737,0.961,0.834,0.692,11346
ethiopia,SSI (any-pixel),0.1,0.544,0.985,0.701,0.514,5820
ethiopia,SSI (any-pixel),0.2,0.546,0.985,0.702,0.518,5820
ethiopia,SSI (any-pixel),0.3,0.551,0.982,0.706,0.528,5820
ethiopia,SSI (mean-SSI),0.1,0.544,0.985,0.701,0.514,5820
ethiopia,SSI (mean-SSI),0.2,0.545,0.985,0.702,0.517,5820
ethiopia,SSI (mean-SSI),0.3,0.549,0.982,0.704,0.523,5820
ethiopia,SSI (SpaceDef only),0.1,0.577,0.966,0.723,0.574,5820
ethiopia,SSI (SpaceDef only),0.2,0.595,0.964,0.736,0.602,5820
ethiopia,SSI (SpaceDef only),0.3,0.61,0.957,0.745,0.624,5820
nigeria,SSI (any-pixel),0.1,0.424,0.915,0.58,0.488,62000
nigeria,SSI (any-pixel),0.2,0.429,0.903,0.581,0.496,62000
nigeria,SSI (any-pixel),0.3,0.436,0.876,0.582,0.509,62000
nigeria,SSI (mean-SSI),0.1,0.424,0.915,0.58,0.487,62000
nigeria,SSI (mean-SSI),0.2,0.427,0.904,0.58,0.493,62000
nigeria,SSI (mean-SSI),0.3,0.432,0.877,0.579,0.503,62000
nigeria,SSI (SpaceDef only),0.1,0.768,0.491,0.599,0.69,62000
nigeria,SSI (SpaceDef only),0.2,0.801,0.474,0.596,0.693,62000
nigeria,SSI (SpaceDef only),0.3,0.83,0.453,0.586,0.692,62000
niger,SSI (any-pixel),0.1,0.736,0.987,0.843,0.511,4599
niger,SSI (any-pixel),0.2,0.738,0.986,0.844,0.517,4599
niger,SSI (any-pixel),0.3,0.743,0.984,0.847,0.53,4599
niger,SSI (mean-SSI),0.1,0.736,0.987,0.843,0.511,4599
niger,SSI (mean-SSI),0.2,0.738,0.986,0.844,0.516,4599
niger,SSI (mean-SSI),0.3,0.741,0.985,0.845,0.523,4599
niger,SSI (SpaceDef only),0.1,0.798,0.921,0.855,0.644,4599
niger,SSI (SpaceDef only),0.2,0.818,0.917,0.864,0.68,4599
niger,SSI (SpaceDef only),0.3,0.838,0.909,0.872,0.716,4599
mozambique,SSI (any-pixel),0.1,0.64,0.953,0.766,0.555,5915
mozambique,SSI (any-pixel),0.2,0.649,0.947,0.77,0.571,5915
mozambique,SSI (any-pixel),0.3,0.664,0.935,0.777,0.596,5915
mozambique,SSI (mean-SSI),0.1,0.64,0.954,0.766,0.555,5915
mozambique,SSI (mean-SSI),0.2,0.649,0.947,0.77,0.57,5915
mozambique,SSI (mean-SSI),0.3,0.661,0.936,0.775,0.591,5915
mozambique,SSI (SpaceDef only),0.1,0.801,0.864,0.831,0.763,5915
mozambique,SSI (SpaceDef only),0.2,0.823,0.851,0.836,0.781,5915
mozambique,SSI (SpaceDef only),0.3,0.843,0.836,0.84,0.796,5915
angola,SSI (any-pixel),0.1,0.688,0.924,0.789,0.542,891
angola,SSI (any-pixel),0.2,0.694,0.911,0.788,0.552,891
angola,SSI (any-pixel),0.3,0.707,0.894,0.789,0.574,891
angola,SSI (mean-SSI),0.1,0.688,0.924,0.789,0.542,891
angola,SSI (mean-SSI),0.2,0.692,0.911,0.787,0.548,891
angola,SSI (mean-SSI),0.3,0.705,0.897,0.79,0.572,891
angola,SSI (SpaceDef only),0.1,0.81,0.844,0.826,0.723,891
angola,SSI (SpaceDef only),0.2,0.842,0.83,0.836,0.758,891
angola,SSI (SpaceDef only),0.3,0.854,0.813,0.833,0.767,891
namibia,SSI (any-pixel),0.1,0.677,0.972,0.798,0.601,346
namibia,SSI (any-pixel),0.2,0.721,0.968,0.826,0.672,346
namibia,SSI (any-pixel),0.3,0.754,0.963,0.846,0.72,346
namibia,SSI (mean-SSI),0.1,0.669,0.972,0.792,0.586,346
namibia,SSI (mean-SSI),0.2,0.697,0.968,0.81,0.634,346
namibia,SSI (mean-SSI),0.3,0.744,0.968,0.841,0.707,346
namibia,SSI (SpaceDef only),0.1,0.759,0.963,0.849,0.728,346
namibia,SSI (SpaceDef only),0.2,0.79,0.958,0.866,0.768,346
namibia,SSI (SpaceDef only),0.3,0.817,0.954,0.88,0.8,346
mauritania,SSI (any-pixel),0.1,0.593,0.808,0.684,0.62,1802
mauritania,SSI (any-pixel),0.2,0.617,0.8,0.697,0.645,1802
mauritania,SSI (any-pixel),0.3,0.651,0.788,0.713,0.677,1802
mauritania,SSI (mean-SSI),0.1,0.593,0.808,0.684,0.619,1802
mauritania,SSI (mean-SSI),0.2,0.613,0.8,0.694,0.641,1802
mauritania,SSI (mean-SSI),0.3,0.637,0.788,0.705,0.664,1802
mauritania,SSI (SpaceDef only),0.1,0.626,0.804,0.704,0.655,1802
mauritania,SSI (SpaceDef only),0.2,0.655,0.795,0.718,0.682,1802
mauritania,SSI (SpaceDef only),0.3,0.678,0.783,0.727,0.7,1802
somalia,SSI (any-pixel),0.1,0.828,0.797,0.812,0.538,6524
somalia,SSI (any-pixel),0.2,0.831,0.793,0.812,0.547,6524
somalia,SSI (any-pixel),0.3,0.841,0.786,0.812,0.57,6524
somalia,SSI (mean-SSI),0.1,0.827,0.797,0.812,0.538,6524
somalia,SSI (mean-SSI),0.2,0.83,0.793,0.811,0.545,6524
somalia,SSI (mean-SSI),0.3,0.837,0.786,0.811,0.562,6524
somalia,SSI (SpaceDef only),0.1,0.846,0.768,0.805,0.582,6524
somalia,SSI (SpaceDef only),0.2,0.854,0.763,0.806,0.598,6524
somalia,SSI (SpaceDef only),0.3,0.867,0.755,0.807,0.625,6524
egypt,SSI (any-pixel),0.1,0.476,0.723,0.574,0.556,55178
