TP,FP,TN,FN,precision,recall,F1,balanced_acc,country,Rule / Comparison,τ (threshold),n (blocks)
17281,5968,999,1617,0.7433007871306293,0.9144353899883586,0.8200346406624435,0.5289128291982843,democratic_republic_of_the_congo,SSI (any-pixel),0.1,25865
17185,5703,1264,1713,0.7508301293254107,0.9093554873531591,0.8225242904322022,0.5453911066735653,democratic_republic_of_the_congo,SSI (any-pixel),0.2,25865
16990,5294,1673,1908,0.7624304433674385,0.89903693512541,0.8251177698994706,0.5695844931117218,democratic_republic_of_the_congo,SSI (any-pixel),0.3,25865
17282,5978,989,1616,0.7429922613929493,0.9144883056408085,0.8198681151857298,0.5282216180134572,democratic_republic_of_the_congo,SSI (mean-SSI),0.1,25865
17191,5754,1213,1707,0.749226410982785,0.909672981267859,0.8216906053581244,0.5418897416745496,democratic_republic_of_the_congo,SSI (mean-SSI),0.2,25865
17002,5410,1557,1896,0.758611458147421,0.89967192295481,0.8231420963447108,0.5615770264982174,democratic_republic_of_the_congo,SSI (mean-SSI),0.3,25865
12468,1303,5664,6430,0.9053808728487401,0.659752354746534,0.7632924178885183,0.7363639052331781,democratic_republic_of_the_congo,SSI (SpaceDef only),0.1,25865
12340,1084,5883,6558,0.9192491060786651,0.6529791512329347,0.7635666109770435,0.7486942548184194,democratic_republic_of_the_congo,SSI (SpaceDef only),0.2,25865
12109,919,6048,6789,0.9294596254221676,0.6407556355169859,0.7585666854601265,0.7544240356428047,democratic_republic_of_the_congo,SSI (SpaceDef only),0.3,25865
13324,10280,1966,1159,0.5644805965090662,0.9199751432714217,0.6996613017565049,0.5402586805692402,south_africa,SSI (any-pixel),0.1,26729
13093,8852,3394,1390,0.5966279334700387,0.9040254091003245,0.7188426485121335,0.59058856605596,south_africa,SSI (any-pixel),0.2,26729
12858,7359,4887,1625,0.6359994064401246,0.8877994890561348,0.7410951008645533,0.6434342864192972,south_africa,SSI (any-pixel),0.3,26729
13338,10357,1889,1145,0.5629035661531969,0.9209417938272457,0.6987270155586988,0.53759812213002,south_africa,SSI (mean-SSI),0.1,26729
13131,9189,3057,1352,0.5883064516129032,0.9066491748947041,0.7135831318099068,0.5781408539833638,south_africa,SSI (mean-SSI),0.2,26729
12918,7979,4267,1565,0.6181748576350672,0.8919422771525236,0.7302430751837196,0.6201912920957784,south_africa,SSI (mean-SSI),0.3,26729
12567,4576,7670,1916,0.7330688910925742,0.8677069667886488,0.7947258584708784,0.7470169653476153,south_africa,SSI (SpaceDef only),0.1,26729
12479,3856,8390,2004,0.7639424548515458,0.8616308775806117,0.8098513855538971,0.7733762749817152,south_africa,SSI (SpaceDef only),0.2,26729
12309,3314,8932,2174,0.7878768482365743,0.8498929779741766,0.8177107553311633,0.7896370001744148,south_africa,SSI (SpaceDef only),0.3,26729
6985,3891,341,129,0.6422397940419272,0.9818667416362102,0.7765425236242357,0.531221650591262,sudan,SSI (any-pixel),0.1,11346
6977,3787,445,137,0.64817911557042,0.9807421984818667,0.7805123615616959,0.542946713607663,sudan,SSI (any-pixel),0.2,11346
6959,3591,641,155,0.6596208530805687,0.9782119763845938,0.7879302536231884,0.5648385023699907,sudan,SSI (any-pixel),0.3,11346
6986,3893,339,128,0.6421546097986948,0.9820073095305032,0.7765242038570555,0.5310556396423782,sudan,SSI (mean-SSI),0.1,11346
6978,3803,429,136,0.6472497912995084,0.9808827663761597,0.7798826487845767,0.5411266383865676,sudan,SSI (mean-SSI),0.2,11346
6961,3640,592,153,0.6566361663993963,0.9784931121731797,0.7858876658199266,0.5591898453115426,sudan,SSI (mean-SSI),0.3,11346
6910,3045,1187,204,0.694123556002009,0.9713241495642395,0.8096549299900404,0.6259030955760706,sudan,SSI (SpaceDef only),0.1,11346
