country,τ (threshold),UC_NM_MN,n_blocks,rf_deprived_n,WRI_p_deprived_n,WRI_m_deprived_n
india,0.1,Ahmedabad,3758,954,868,874
india,0.1,Amer,20,0,20,17
india,0.1,Anpara,1,0,0,0
india,0.1,Bagru,16,0,9,6
india,0.1,Balagarh,4,0,0,0
india,0.1,Belagavi,670,18,531,540
india,0.1,Bengaluru,10107,3744,3135,3996
india,0.1,Canning,14,0,0,0
india,0.1,Chakdaha,12,0,9,6
india,0.1,Chomu,71,0,0,0
india,0.1,Coimbatore,1292,100,742,737
india,0.1,Dahegam,28,1,0,0
india,0.1,Dhule,21,0,0,0
india,0.1,Gandhinagar,174,0,116,89
india,0.1,Ghatampur,2,0,0,0
india,0.1,Ghatkesar,129,6,102,83
india,0.1,Guruvayur,103,1,0,0
india,0.1,Habra,91,3,0,0
india,0.1,Hatisala,28,0,0,0
india,0.1,Hindupur,60,6,59,55
india,0.1,Hoskote,41,0,0,0
india,0.1,Hosur,45,0,0,0
india,0.1,Hyderabad,7646,684,3718,4126
india,0.1,Jaipur,3025,169,2281,2320
india,0.1,Jalna,255,12,160,176
india,0.1,Jigani,144,0,26,14
india,0.1,Kadi,26,1,0,0
india,0.1,Kalol,115,6,61,52
india,0.1,Kanjikode,21,0,0,0
india,0.1,Kanpur,1935,410,1056,1286
india,0.1,Karamadai - காரமடை,5,0,0,0
india,0.1,Kolkata,7662,2086,6068,6205
india,0.1,Kozhikode,1189,111,760,766
india,0.1,Lonavala,2,0,0,0
india,0.1,Malappuram,271,1,46,39
india,0.1,Malegaon,401,20,304,318
india,0.1,Mangalagiri,72,1,10,10
india,0.1,Manjeri,164,5,96,92
india,0.1,Mannarkkad,69,3,0,0
india,0.1,Mansa,9,2,0,0
india,0.1,Masat,21,0,2,0
india,0.1,Mumbai,9140,1395,2712,3055
india,0.1,N/A,113,4,11,9
india,0.1,Padi Meena,81,0,60,55
india,0.1,Palakkad,61,0,0,0
india,0.1,Palladam,37,0,0,0
