country,τ (threshold),UC_NM_MN,n_blocks,rf_deprived_n,WRI_p_deprived_n,WRI_m_deprived_n
iran,0.1,Ahwaz,916,0,407,426
iran,0.1,Gorgan,247,0,13,8
iran,0.1,Mahdasht,67,0,31,26
iran,0.1,Pakdasht,124,0,0,0
iran,0.1,Pardis,2,0,0,0
iran,0.1,Pardisan,56,0,1,1
iran,0.1,Qarchak,176,0,0,0
iran,0.1,Qom,777,0,10,18
iran,0.1,Safadasht,97,7,0,0
iran,0.1,Susangerd,38,0,0,0
iran,0.1,Tehran,10125,272,357,338
iran,0.1,Varamin,57,0,0,0
iran,0.2,Ahwaz,916,0,307,157
iran,0.2,Gorgan,247,0,5,0
iran,0.2,Mahdasht,67,0,18,4
iran,0.2,Pakdasht,124,0,0,0
iran,0.2,Pardis,2,0,0,0
iran,0.2,Pardisan,56,0,1,0
iran,0.2,Qarchak,176,0,0,0
iran,0.2,Qom,777,0,4,0
iran,0.2,Safadasht,97,7,0,0
iran,0.2,Susangerd,38,0,0,0
iran,0.2,Tehran,10125,272,198,46
iran,0.2,Varamin,57,0,0,0
iran,0.3,Ahwaz,916,0,238,44
iran,0.3,Gorgan,247,0,3,0
iran,0.3,Mahdasht,67,0,16,0
iran,0.3,Pakdasht,124,0,0,0
iran,0.3,Pardis,2,0,0,0
iran,0.3,Pardisan,56,0,1,0
iran,0.3,Qarchak,176,0,0,0
iran,0.3,Qom,777,0,2,0
iran,0.3,Safadasht,97,7,0,0
iran,0.3,Susangerd,38,0,0,0
iran,0.3,Tehran,10125,272,117,7
iran,0.3,Varamin,57,0,0,0
