country,τ (threshold),UC_NM_MN,n_blocks,rf_deprived_n,WRI_p_deprived_n,WRI_m_deprived_n
nigeria,0.1,Biliri,101,15,0,0
nigeria,0.1,Gombe,254,105,219,209
nigeria,0.1,Ibadan,2993,271,2763,2771
nigeria,0.1,Ikorodu,579,2,0,0
nigeria,0.1,Iwo,3,0,0,0
nigeria,0.1,Kaltungo,33,3,0,0
nigeria,0.1,Lagos,8330,823,7535,7543
nigeria,0.1,Ogunrun-Ori,182,0,0,0
nigeria,0.1,Oyo,594,17,549,552
nigeria,0.1,Sagamu,34,1,0,0
nigeria,0.2,Biliri,101,15,0,0
nigeria,0.2,Gombe,254,105,206,154
nigeria,0.2,Ibadan,2993,271,2632,2307
nigeria,0.2,Ikorodu,579,2,0,0
nigeria,0.2,Iwo,3,0,0,0
nigeria,0.2,Kaltungo,33,3,0,0
nigeria,0.2,Lagos,8330,823,7284,6693
nigeria,0.2,Ogunrun-Ori,182,0,0,0
nigeria,0.2,Oyo,594,17,507,418
nigeria,0.2,Sagamu,34,1,0,0
nigeria,0.3,Biliri,101,15,0,0
nigeria,0.3,Gombe,254,105,188,106
nigeria,0.3,Ibadan,2993,271,2484,1278
nigeria,0.3,Ikorodu,579,2,0,0
nigeria,0.3,Iwo,3,0,0,0
nigeria,0.3,Kaltungo,33,3,0,0
nigeria,0.3,Lagos,8330,823,7033,5237
nigeria,0.3,Ogunrun-Ori,182,0,0,0
nigeria,0.3,Oyo,594,17,461,216
nigeria,0.3,Sagamu,34,1,0,0
