country,status,n_blocks,rf_dep
afghanistan,ok,4073,154
algeria,ok,2479,588
angola,ok,9106,6364
argentina,ok,17130,1276
bangladesh,ok,10382,2278
bolivia,ok,1276,178
brazil,ok,27011,2592
colombia,ok,8071,600
costa_rica,ok,1807,39
cuba,ok,311,168
democratic_republic_of_the_congo,ok,11966,9903
ecuador,ok,2226,259
egypt,ok,27475,13406
el_salvador,ok,935,186
ethiopia,ok,5334,3472
ghana,ok,4670,2344
guatemala,ok,1489,363
india,ok,54821,5693
indonesia,ok,8269,169
iran,ok,12682,117
iraq,ok,7030,377
kazakhstan,ok,854,0
kenya,ok,519,305
malaysia,ok,1145,0
mali,ok,4157,2291
mexico,ok,27810,3226
mongolia,ok,922,0
morocco,ok,508,147
mozambique,ok,359,222
myanmar,ok,190,2
nepal,ok,174,3
nicaragua,ok,162,44
nigeria,ok,13103,8807
north_korea,ok,626,2
pakistan,ok,26480,6666
philippines,ok,14177,3373
rwanda,ok,1159,560
south_africa,ok,10949,6852
sudan,ok,7358,4894
tanzania,ok,454,177
thailand,ok,8526,136
tunisia,ok,62,10
uganda,ok,3261,2006
uzbekistan,ok,1676,3
venezuela,ok,2102,277
vietnam,ok,9384,2123
yemen,ok,2947,111
zambia,ok,497,187
