country,threshold,total_segments,rf_deprived_segments,wri_deprived_segments,total_population,rf_deprived_population,wri_deprived_population
GLOBAL,0.1,358104,92950,154785,525625150.2364684,128349360.46733469,227180268.23267865
GLOBAL,0.2,358104,92950,137519,525625150.2364684,128349360.46733469,186103370.07644963
GLOBAL,0.3,358104,92950,124501,525625150.2364684,128349360.46733469,159706505.60142264
afghanistan,0.1,4073,154,3134,6114889.877326547,446600.87431054993,4492670.628719589
afghanistan,0.2,4073,154,3006,6114889.877326547,446600.87431054993,4052899.695125029
afghanistan,0.3,4073,154,2889,6114889.877326547,446600.87431054993,3778004.7376365396
algeria,0.1,2479,588,935,4424830.495958962,635186.354557751,1557636.2491632788
algeria,0.2,2479,588,716,4424830.495958962,635186.354557751,1098852.3470860359
algeria,0.3,2479,588,558,4424830.495958962,635186.354557751,736182.4650352041
angola,0.1,9106,6364,8048,10782007.690842027,7043578.605602993,9139494.8630443
angola,0.2,9106,6364,7565,10782007.690842027,7043578.605602993,8421708.54547735
angola,0.3,9106,6364,7095,10782007.690842027,7043578.605602993,7718898.929938054
argentina,0.1,17130,1276,5032,15450891.89500117,1145544.72421051,4618489.112415362
argentina,0.2,17130,1276,4303,15450891.89500117,1145544.72421051,3781666.204289632
argentina,0.3,17130,1276,3694,15450891.89500117,1145544.72421051,3151261.012331101
bangladesh,0.1,10382,2278,6878,29459862.69365206,9175008.77991882,17841243.231731627
bangladesh,0.2,10382,2278,6044,29459862.69365206,9175008.77991882,14822035.803002708
bangladesh,0.3,10382,2278,5440,29459862.69365206,9175008.77991882,12952447.399453413
bolivia,0.1,1276,178,566,1208234.649547516,164229.52193223103,559906.8673804731
bolivia,0.2,1276,178,442,1208234.649547516,164229.52193223103,420350.389072697
bolivia,0.3,1276,178,343,1208234.649547516,164229.52193223103,314242.073588142
brazil,0.1,27011,2592,987,29194861.836480964,3104418.207136033,1087142.42226135
brazil,0.2,27011,2592,623,29194861.836480964,3104418.207136033,587031.7878708991
brazil,0.3,27011,2592,441,29194861.836480964,3104418.207136033,394144.44549505395
colombia,0.1,8071,600,747,10871293.536509711,624064.5848528839,837777.608471458
colombia,0.2,8071,600,628,10871293.536509711,624064.5848528839,638852.619689177
colombia,0.3,8071,600,558,10871293.536509711,624064.5848528839,520713.39240913803
costa_rica,0.1,1807,39,0,2488654.419787371,45429.964461498006,0.0
costa_rica,0.2,1807,39,0,2488654.419787371,45429.964461498006,0.0
costa_rica,0.3,1807,39,0,2488654.419787371,45429.964461498006,0.0
cuba,0.1,311,168,247,325877.868614404,162840.27821894002,255482.177306753
cuba,0.2,311,168,232,325877.868614404,162840.27821894002,233414.211934541
cuba,0.3,311,168,219,325877.868614404,162840.27821894002,209035.17053079797
democratic_republic_of_the_congo,0.1,11966,9903,11690,15150888.585321508,11921498.287271202,14718614.497115789
democratic_republic_of_the_congo,0.2,11966,9903,11512,15150888.585321508,11921498.287271202,14231379.280497799
democratic_republic_of_the_congo,0.3,11966,9903,11323,15150888.585321508,11921498.287271202,13651058.077483106
ecuador,0.1,2226,259,237,2586307.869335627,265298.31461058,275939.648666755
ecuador,0.2,2226,259,150,2586307.869335627,265298.31461058,162315.83375219602
ecuador,0.3,2226,259,110,2586307.869335627,265298.31461058,102780.30547916601
egypt,0.1,27475,13406,13923,34178348.51550086,12623734.257675141,15798045.994506406
egypt,0.2,27475,13406,12601,34178348.51550086,12623734.257675141,13295158.288246065
egypt,0.3,27475,13406,11572,34178348.51550086,12623734.257675141,11731530.970237419
el_salvador,0.1,935,186,158,1699260.262380633,404419.143936873,413540.629581744
el_salvador,0.2,935,186,89,1699260.262380633,404419.143936873,144284.55014512502
el_salvador,0.3,935,186,60,1699260.262380633,404419.143936873,72420.83391914198
ethiopia,0.1,5334,3472,1390,7032383.885239761,4152864.691417369,1622375.428073309
ethiopia,0.2,5334,3472,1072,7032383.885239761,4152864.691417369,1134049.9324583989
ethiopia,0.3,5334,3472,888,7032383.885239761,4152864.691417369,887552.803764122
ghana,0.1,4670,2344,4094,5545598.820943493,2512567.835473099,4630885.107896199
ghana,0.2,4670,2344,3924,5545598.820943493,2512567.835473099,4279621.880534418
ghana,0.3,4670,2344,3745,5545598.820943493,2512567.835473099,3989660.912158736
guatemala,0.1,1489,363,134,2908029.064863297,645028.4220624999,195110.054923743
guatemala,0.2,1489,363,94,2908029.064863297,645028.4220624999,106378.19192388498
guatemala,0.3,1489,363,68,2908029.064863297,645028.4220624999,67255.126476846
india,0.1,54821,5693,23851,110515016.78782967,16126040.542348268,49230287.08902983
india,0.2,54821,5693,20516,110515016.78782967,16126040.542348268,39036653.014450274
india,0.3,54821,5693,18052,110515016.78782967,16126040.542348268,32511625.41358894
indonesia,0.1,8269,169,4026,10894241.912003685,230974.224486896,5154095.026053911
indonesia,0.2,8269,169,3290,10894241.912003685,230974.224486896,3886885.813916418
indonesia,0.3,8269,169,2764,10894241.912003685,230974.224486896,3024938.631430029
iran,0.1,12682,117,819,16412991.77974612,176581.505272402,1154421.166243791
iran,0.2,12682,117,533,16412991.77974612,176581.505272402,626917.7848310401
iran,0.3,12682,117,377,16412991.77974612,176581.505272402,412326.685967092
iraq,0.1,7030,377,4741,8139172.029610038,379794.021550914,5273374.017855171
iraq,0.2,7030,377,4283,8139172.029610038,379794.021550914,4440776.111178268
iraq,0.3,7030,377,3857,8139172.029610038,379794.021550914,3754898.614082193
kazakhstan,0.1,854,0,714,1040281.0248354329,0.0,862235.0613967469
kazakhstan,0.2,854,0,664,1040281.0248354329,0.0,764909.403187182
kazakhstan,0.3,854,0,623,1040281.0248354329,0.0,657111.510574139
kenya,0.1,519,305,215,553459.2078877711,295802.41817859904,219431.607769088
kenya,0.2,519,305,139,553459.2078877711,295802.41817859904,138187.03843951
kenya,0.3,519,305,108,553459.2078877711,295802.41817859904,107261.88534622602
malaysia,0.1,1145,0,19,1635323.3899297589,0.0,17498.960862195
malaysia,0.2,1145,0,4,1635323.3899297589,0.0,2990.994016399
malaysia,0.3,1145,0,1,1635323.3899297589,0.0,712.313346062
mali,0.1,4157,2291,3811,4127086.3729009093,1965326.139320716,3814724.91654456
mali,0.2,4157,2291,3661,4127086.3729009093,1965326.139320716,3560729.672653033
mali,0.3,4157,2291,3489,4127086.3729009093,1965326.139320716,3289414.915213625
mexico,0.1,27810,3226,3544,29440744.34207911,3505189.3448769273,3874727.585511867
mexico,0.2,27810,3226,2793,29440744.34207911,3505189.3448769273,2879194.67027649
mexico,0.3,27810,3226,2249,29440744.34207911,3505189.3448769273,2207297.785973588
mongolia,0.1,922,0,662,1405983.738511537,0.0,854212.341571299
mongolia,0.2,922,0,630,1405983.738511537,0.0,755162.426382052
mongolia,0.3,922,0,595,1405983.738511537,0.0,672634.5289689631
morocco,0.1,508,147,104,1079192.4481946938,508829.55171266303,511324.996123399
morocco,0.2,508,147,76,1079192.4481946938,508829.55171266303,440560.460007689
morocco,0.3,508,147,66,1079192.4481946938,508829.55171266303,395723.790286447
mozambique,0.1,359,222,326,581428.9206145941,388671.684975986,521192.478455039
mozambique,0.2,359,222,313,581428.9206145941,388671.684975986,498091.26735440805
mozambique,0.3,359,222,303,581428.9206145941,388671.684975986,482825.848013039
myanmar,0.1,190,2,174,265736.33307395905,2707.139205464,227012.45504594102
myanmar,0.2,190,2,166,265736.33307395905,2707.139205464,213944.018544093
myanmar,0.3,190,2,156,265736.33307395905,2707.139205464,198681.577533759
nepal,0.1,174,3,73,179431.575620579,2264.888471571,71167.35394189399
nepal,0.2,174,3,39,179431.575620579,2264.888471571,35947.973149645
nepal,0.3,174,3,25,179431.575620579,2264.888471571,22296.942828853
nicaragua,0.1,162,44,13,159584.401239296,42304.74212382599,15685.692342200002
nicaragua,0.2,162,44,8,159584.401239296,42304.74212382599,8193.318139828
nicaragua,0.3,162,44,6,159584.401239296,42304.74212382599,6367.9551836579985
nigeria,0.1,13103,8807,11066,18998770.89455227,10858733.750435155,15664156.801423375
nigeria,0.2,13103,8807,10629,18998770.89455227,10858733.750435155,14034834.036532002
nigeria,0.3,13103,8807,10166,18998770.89455227,10858733.750435155,12519234.156963706
north_korea,0.1,626,2,3,3323368.372664923,12088.68046109,3617.8508257469994
north_korea,0.2,626,2,0,3323368.372664923,12088.68046109,0.0
north_korea,0.3,626,2,0,3323368.372664923,12088.68046109,0.0
pakistan,0.1,26480,6666,15733,36123740.15309839,9745914.411844395,20900286.49763512
pakistan,0.2,26480,6666,14493,36123740.15309839,9745914.411844395,17923635.997505013
pakistan,0.3,26480,6666,13500,36123740.15309839,9745914.411844395,15933861.932809856
philippines,0.1,14177,3373,6308,28718199.521120723,8680833.365514003,12123966.96633387
philippines,0.2,14177,3373,5140,28718199.521120723,8680833.365514003,8277458.799543317
philippines,0.3,14177,3373,4300,28718199.521120723,8680833.365514003,6354476.999257487
rwanda,0.1,1159,560,908,1531056.521979583,671283.732737298,1224492.369104848
rwanda,0.2,1159,560,788,1531056.521979583,671283.732737298,996102.2405324429
rwanda,0.3,1159,560,685,1531056.521979583,671283.732737298,761222.456420092
south_africa,0.1,10949,6852,1595,11976531.452882912,6334881.548864484,1729044.509593994
south_africa,0.2,10949,6852,1287,11976531.452882912,6334881.548864484,1304376.252984283
south_africa,0.3,10949,6852,1088,11976531.452882912,6334881.548864484,1049168.0901293568
sudan,0.1,7358,4894,6893,6670516.4217556175,4131523.066107745,6066154.874977516
sudan,0.2,7358,4894,6767,6670516.4217556175,4131523.066107745,5873978.394241193
sudan,0.3,7358,4894,6624,6670516.4217556175,4131523.066107745,5659763.679835168
tanzania,0.1,454,177,297,653318.750701047,255947.780953965,438358.983637475
tanzania,0.2,454,177,214,653318.750701047,255947.780953965,278153.989908422
tanzania,0.3,454,177,166,653318.750701047,255947.780953965,193906.801490793
thailand,0.1,8526,136,2680,19166092.733913943,435330.725483148,5740913.647694901
thailand,0.2,8526,136,1775,19166092.733913943,435330.725483148,3251697.1338292817
thailand,0.3,8526,136,1264,19166092.733913943,435330.725483148,2118883.909715596
tunisia,0.1,62,10,26,74358.83563326,10612.999565921,30700.471938953
tunisia,0.2,62,10,18,74358.83563326,10612.999565921,18664.465233349
tunisia,0.3,62,10,13,74358.83563326,10612.999565921,10872.640225439
uganda,0.1,3261,2006,2743,4708050.169845801,2576214.636287007,3921021.1246060757
uganda,0.2,3261,2006,2396,4708050.169845801,2576214.636287007,3262653.479590212
uganda,0.3,3261,2006,2054,4708050.169845801,2576214.636287007,2663501.293529542
uzbekistan,0.1,1676,3,1047,4091867.9429313866,5363.816772117,2560928.690455552
uzbekistan,0.2,1676,3,894,4091867.9429313866,5363.816772117,1800555.8220192892
uzbekistan,0.3,1676,3,762,4091867.9429313866,5363.816772117,1555629.616260022
venezuela,0.1,2102,277,390,3923553.6889893464,823343.276289414,925385.1141022
venezuela,0.2,2102,277,275,3923553.6889893464,823343.276289414,492719.185462054
venezuela,0.3,2102,277,210,3923553.6889893464,823343.276289414,255677.71750648902
vietnam,0.1,9384,2123,2788,15581328.383296965,4686296.307629696,4591617.357515929
vietnam,0.2,9384,2123,1860,15581328.383296965,4686296.307629696,2733923.618436871
vietnam,0.3,9384,2123,1256,15581328.383296965,4686296.307629696,1682043.7713325191
yemen,0.1,2947,111,643,3707832.0391211575,263544.309198404,1022069.0610692879
yemen,0.2,2947,111,532,3707832.0391211575,263544.309198404,814632.811875053
yemen,0.3,2947,111,444,3707832.0391211575,263544.309198404,632508.226381024
zambia,0.1,497,187,373,524668.122597993,160649.009017642,391808.64175872796
zambia,0.2,497,187,335,524668.122597993,160649.009017642,340840.321124539
