raster,raster_name,raster_crs,gpkg,gpkg_name,gpkg_status,layers_checked,intersects,intersection_area,intersection_fraction_of_raster_bbox
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\afghanistan_rf_preds.gpkg,afghanistan_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\algeria_rf_preds.gpkg,algeria_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\angola_rf_preds.gpkg,angola_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\argentina_rf_preds.gpkg,argentina_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\bangladesh_rf_preds.gpkg,bangladesh_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\belize_rf_preds.gpkg,belize_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\benin_rf_preds.gpkg,benin_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\bolivia_rf_preds.gpkg,bolivia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\botswana_rf_preds.gpkg,botswana_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\brazil_rf_preds.gpkg,brazil_rf_preds.gpkg,NO_VALID_GEOMS,0,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\burkina_faso_rf_preds.gpkg,burkina_faso_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\burundi_rf_preds.gpkg,burundi_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\cambodia_rf_preds.gpkg,cambodia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\cameroon_rf_preds.gpkg,cameroon_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\central_african_republic_rf_preds.gpkg,central_african_republic_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\chad_rf_preds.gpkg,chad_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\colombia_rf_preds.gpkg,colombia_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\comoros_rf_preds.gpkg,comoros_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\costa_rica_rf_preds.gpkg,costa_rica_rf_preds.gpkg,OK,1,False,0.0,0.0
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Ahvaz_y2020-0000000000-0000020736.tif,Ahvaz_y2020-0000000000-0000020736.tif,EPSG:32639,D:\VSG\DIRTY_MODEL\November2025\All_30percent_outputs_new\predictions_04thres\Filtered_80perc\cote_d_ivoire_rf_preds.gpkg,cote_d_ivoire_rf_preds.gpkg,OK,1,False,0.0,0.0
