raster,raster_name,gpkgs,n_gpks
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\philippines\Bacolod_y2020.tif,Bacolod_y2020.tif,"['kenya_rf_preds.gpkg', 'philippines_rf_preds.gpkg']",2
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\philippines\Cebu_City_y2020.tif,Cebu_City_y2020.tif,"['kenya_rf_preds.gpkg', 'philippines_rf_preds.gpkg']",2
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\democratic_republic_of_the_congo\Kinshasa_y2020.tif,Kinshasa_y2020.tif,"['democratic_republic_of_the_congo_rf_preds.gpkg', 'republic_of_congo_rf_preds.gpkg']",2
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\philippines\Manila_y2020.tif,Manila_y2020.tif,"['kenya_rf_preds.gpkg', 'philippines_rf_preds.gpkg']",2
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\north_korea\Pyongyang_y2020.tif,Pyongyang_y2020.tif,"['kenya_rf_preds.gpkg', 'north_korea_rf_preds.gpkg']",2
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Singapore_y2020.tif,Singapore_y2020.tif,"['indonesia_rf_preds.gpkg', 'malaysia_rf_preds.gpkg']",2
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\uzbekistan\Tashkent_y2020.tif,Tashkent_y2020.tif,"['kazakhstan_rf_preds.gpkg', 'uzbekistan_rf_preds.gpkg']",2
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\ghana\Accra_y2020.tif,Accra_y2020.tif,['ghana_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\ghana\Accra_y2020_1.tif,Accra_y2020_1.tif,['ghana_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\ethiopia\Addis_Ababa_y2020.tif,Addis_Ababa_y2020.tif,['ethiopia_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Ahmedabad_y2020.tif,Ahmedabad_y2020.tif,['india_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\iran\Ahvaz_y2020-0000000000-0000000000.tif,Ahvaz_y2020-0000000000-0000000000.tif,['iran_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\egypt\Alexandria_y2020.tif,Alexandria_y2020.tif,['egypt_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\egypt\Alexandria_y2020_1.tif,Alexandria_y2020_1.tif,['egypt_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\algeria\Algiers_y2020.tif,Algiers_y2020.tif,['algeria_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\tanzania\Arusha_y2020.tif,Arusha_y2020.tif,['tanzania_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\iraq\Baghdad_y2020.tif,Baghdad_y2020.tif,['iraq_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\mali\Bamako_y2020.tif,Bamako_y2020.tif,['mali_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Bangalore_y2020.tif,Bangalore_y2020.tif,['india_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\thailand\Bangkok_y2020-0000000000-0000000000.tif,Bangkok_y2020-0000000000-0000000000.tif,['thailand_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\thailand\Bangkok_y2020-0000000000-0000020736.tif,Bangkok_y2020-0000000000-0000020736.tif,['thailand_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\thailand\Bangkok_y2020-0000020736-0000000000.tif,Bangkok_y2020-0000020736-0000000000.tif,['thailand_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\mozambique\Beira_y2020.tif,Beira_y2020.tif,['mozambique_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Belgaum_y2020.tif,Belgaum_y2020.tif,['india_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\brazil\Belo_Horizonte_y2020.tif,Belo_Horizonte_y2020.tif,['brazil_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\colombia\Bogota_y2020.tif,Bogota_y2020.tif,['colombia_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\argentina\Buenos_Aires_y2020.tif,Buenos_Aires_y2020.tif,['argentina_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\uzbekistan\Bukhara_y2020.tif,Bukhara_y2020.tif,['uzbekistan_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\venezuela\Cabimas_y2020.tif,Cabimas_y2020.tif,['venezuela_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\egypt\Cairo_y2020.tif,Cairo_y2020.tif,['egypt_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\venezuela\Caracas_y2020.tif,Caracas_y2020.tif,['venezuela_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\indonesia\Cirebon_y2020.tif,Cirebon_y2020.tif,['indonesia_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\bolivia\Cochabamba_y2020(1).tif,Cochabamba_y2020(1).tif,['bolivia_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\bolivia\Cochabamba_y2020.tif,Cochabamba_y2020.tif,['bolivia_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Coimbatore_y2020.tif,Coimbatore_y2020.tif,['india_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\argentina\Cordoba_y2020.tif,Cordoba_y2020.tif,['argentina_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\mexico\Culiacan_y2020.tif,Culiacan_y2020.tif,['mexico_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\brazil\Curitiba_y2020.tif,Curitiba_y2020.tif,['brazil_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\bangladesh\Dhaka_y2020.tif,Dhaka_y2020.tif,['bangladesh_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\brazil\Florianopolis_y2020.tif,Florianopolis_y2020.tif,['brazil_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\nigeria\Gombe_y2020-0000000000-0000000000.tif,Gombe_y2020-0000000000-0000000000.tif,['nigeria_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\iran\Gorgan_y2020.tif,Gorgan_y2020.tif,['iran_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\mexico\Guadalajara_y2020.tif,Guadalajara_y2020.tif,['mexico_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\guatemala\Guatemala_City_y2020.tif,Guatemala_City_y2020.tif,['guatemala_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\Hangzhou_Zhejiang_y2020_1.tif,Hangzhou_Zhejiang_y2020_1.tif,['kenya_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Hindupur_y2020.tif,Hindupur_y2020.tif,['india_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\vietnam\Ho_ChiMinh_City_y2020.tif,Ho_ChiMinh_City_y2020.tif,['vietnam_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\cuba\Holguin_y2020.tif,Holguin_y2020.tif,['cuba_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Hyderabad_y2020.tif,Hyderabad_y2020.tif,['india_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\nigeria\Ibadan_y2020.tif,Ibadan_y2020.tif,['nigeria_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\brazil\Ilheus_y2020.tif,Ilheus_y2020.tif,['brazil_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\malaysia\Ipoh_y2020.tif,Ipoh_y2020.tif,['malaysia_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Jaipur_y2020.tif,Jaipur_y2020.tif,['india_rf_preds.gpkg'],1
D:\VSG\DIRTY_MODEL\DATASETS\WRI_urban_landuse_v1\PerCountry_Files\india\Jalna_y2020.tif,Jalna_y2020.tif,['india_rf_preds.gpkg'],1
