Country;Region;TotalPop;DeprivedPop;PctDeprived;ValidCities
afghanistan;Asia;11517774.090830185;803735.93755228;6.978222799075128;20
algeria;Africa;19325879.303866867;2148401.757510937;11.116708966929481;92
angola;Africa;20650829.648216836;12619480.087913273;61.10882856952406;41
argentina;Latin America and the Caribbean;28393328.562711313;2023375.3886631592;7.1262352499257124;69
bangladesh;Asia;68542720.2295803;14028884.010022957;20.467358113354614;75
belize;Latin America and the Caribbean;73861.04662429;34496.475332636;46.704557962886305;1
benin;Africa;4673285.746912166;1395721.39053488;29.86595440813974;19
bolivia;Latin America and the Caribbean;6537425.85150616;938796.998429287;14.360346407798986;12
botswana;Africa;549454.002392059;58714.682952141;10.686005142655338;7
brazil;Latin America and the Caribbean;117923299.88524844;14346481.426917415;12.16594298232667;346
burkina faso;Africa;5103500.920221764;3050540.683575096;59.773491398577825;16
burundi;Africa;1714038.352422793;987588.5519040279;57.61764609922943;6
cambodia;Asia;3038960.599367701;182259.60070311197;5.997432172731481;8
cameroon;Africa;15198621.011016421;8374843.0480944235;55.10265070774568;40
central african republic;Africa;1601841.313697086;1158658.28063745;72.3329003147784;6
chad;Africa;3661678.1527263853;1489853.9412768;40.68773603620775;13
colombia;Latin America and the Caribbean;31595900.399016652;3734897.932816196;11.820830821875978;79
comoros;Africa;394719.234936952;206043.585388285;52.20003667193874;2
congo republic;Africa;4109466.966085707;2746524.208588925;66.83407437643932;8
costa rica;Latin America and the Caribbean;2459982.884523851;48887.21002860101;1.9872987871646721;3
cote d'ivoire;Africa;10639014.760486716;4754504.021874945;44.68932630428492;34
cuba;Latin America and the Caribbean;5020385.892170261;1536923.1133448451;30.613644973821906;19
djibouti;Africa;420632.270088937;222181.793412247;52.82091014207485;1
dominican republic;Latin America and the Caribbean;7141880.432934481;1735272.321110053;24.29713487092164;16
dr congo;Africa;43591738.808713526;27911742.949422974;64.02989124132785;100
ecuador;Latin America and the Caribbean;9479243.376776192;1298122.346834933;13.694366683476936;28
egypt;Africa;76177735.74980158;27006556.30004627;35.45203337199034;181
el salvador;Latin America and the Caribbean;2720089.421213605;518030.77128046;19.044622843661276;9
equatorial guinea;Africa;1182009.969783499;609864.2298628141;51.59552334186478;2
eritrea;Africa;253661.679412561;59555.471371305;23.478308394561502;1
eswatini;Africa;97219.96829810302;18561.175208383;19.091937112620073;2
ethiopia;Africa;14999047.86558796;7454895.30182466;49.70245690680332;45
gabon;Africa;745404.379394523;254415.904729719;34.13125972460424;2
gambia;Africa;1446656.488261111;570702.210538707;39.449739117037666;4
ghana;Africa;15943320.20250525;4999951.299804114;31.360790828364898;43
guatemala;Latin America and the Caribbean;5432686.623283596;1482895.5235760552;27.29580456970609;33
guinea;Africa;5008076.957590911;2378019.35855369;47.48368243321912;17
guinea-bissau;Africa;780204.450061094;232493.2602956;29.799017459768983;3
haiti;Latin America and the Caribbean;3887370.6011205986;2543406.232597195;65.42741851944902;16
honduras;Latin America and the Caribbean;4085724.27751044;1158354.04659869;28.351253484596654;13
india;Asia;479716870.1332448;58325105.391988605;12.158235205651282;1287
indonesia;Asia;146689278.68168834;8569105.687090496;5.841671432365017;296
iran;Asia;43626823.92041537;194069.705270651;0.4448403248989097;173
iraq;Asia;28482675.76899463;861049.374246323;3.0230634973685833;59
jamaica;Latin America and the Caribbean;1225485.167871048;133654.254963154;10.90623195345093;4
jordan;Asia;8037177.558475867;118957.38314937302;1.4800890273218195;9
kazakhstan;Asia;8223484.57060252;0.0;0.0;27
kenya;Africa;10892339.03186487;5982457.600518698;54.92353463307913;25
kyrgyz republic;Asia;2312030.531047312;4473.017374227;0.19346705478845022;9
laos;Asia;447890.780910188;0.0;0.0;4
lebanon;Asia;2578488.613611389;66087.617903923;2.5630370270032636;7
lesotho;Africa;234325.79196567798;36960.996333826006;15.773336781996125;1
liberia;Africa;2216567.209940666;404097.593758978;18.23078460904396;5
libya;Africa;3116865.799911493;68833.39795859501;2.208417120831754;15
madagascar;Africa;3833274.618120391;2423140.246620332;63.21332249888465;5
malawi;Africa;2369040.752047225;1465175.135537896;61.84676790687343;7
malaysia;Asia;16910803.053162403;13099.819715703;0.07746420837923051;36
maldives;Asia;209964.01449489;40736.182852564;19.401506944208013;1
mali;Africa;5960716.49871718;2594578.739659587;43.52796748877375;16
mauritania;Africa;1706446.8927264928;795926.2075127899;46.64230752831052;3
mauritius;Africa;561324.3734052279;98793.89194822601;17.60014291716945;1
mexico;Latin America and the Caribbean;68977748.92275587;8094120.108232062;11.734392952278267;166
mongolia;Asia;1405983.738511537;0.0;0.0;1
morocco;Africa;19620151.614661396;4705879.090343993;23.984927246064032;58
mozambique;Africa;7310755.477268715;4411877.49397168;60.34776443678772;24
myanmar;Asia;17257856.091043495;260567.431206212;1.5098482096014327;73
namibia;Africa;405575.736074747;250341.076705335;61.72486528119067;1
nepal;Asia;4955132.348038303;1039461.2046559372;20.977466022021623;8
nicaragua;Latin America and the Caribbean;2583740.154303756;692599.305189513;26.806074288695207;13
niger;Africa;4622590.486370738;2885990.012733085;62.43230978911388;22
nigeria;Africa;91597687.98445147;31803913.240793403;34.72130567989014;313
north korea;Asia;11692345.01795733;22500.395066253;0.1924369750610032;50
pakistan;Asia;95763115.27106354;21880772.63886316;22.848852167066884;161
palestine;Asia;4967351.786009062;24707.750885054;0.49740288083975304;7
panama;Latin America and the Caribbean;2314617.830533032;232579.23268655303;10.048277932473738;6
paraguay;Latin America and the Caribbean;2259511.831049339;402788.48595328204;17.826349940651703;7
peru;Latin America and the Caribbean;17665898.496684294;2895199.00638089;16.38863150336955;38
philippines;Asia;44384037.76846622;10019563.673910392;22.574700675451048;81
rwanda;Africa;1649343.0294075727;706185.9581340828;42.81619684582762;4
senegal;Africa;8346712.434245584;3849218.871484082;46.116586641839824;25
sierra leone;Africa;3190790.414676256;1659545.0709499272;52.01046935946459;8
somalia;Africa;8295293.609712729;6411910.872396017;77.29576762525305;15
south africa;Africa;30289706.70029247;14259662.039745547;47.07758375094421;74
south sudan;Africa;984642.965601156;586839.2024872589;59.599187013840584;7
sri lanka;Asia;6980675.910079699;171600.642198135;2.4582238798732;20
sudan;Africa;15147905.022114929;9307861.73609874;61.44652823284728;46
suriname;Latin America and the Caribbean;236581.25500356103;7842.6791295759995;3.3150044492992277;1
syria;Asia;11559851.17333528;607351.454347232;5.253972955535874;24
tajikistan;Asia;2655706.375218191;23936.51174483;0.9013237294677727;15
tanzania;Africa;14983633.215272395;8968538.238176502;59.855564463731824;35
thailand;Asia;24775219.462217744;436154.826166279;1.7604478815270066;42
timor-leste;Asia;377929.54492788203;22397.992125993;5.926499377090795;1
togo;Africa;3367055.130280057;1056946.835131244;31.390838410279663;11
tunisia;Africa;5735516.774730971;794523.446728393;13.852691534768645;24
turkmenistan;Asia;1975904.08743481;0.0;0.0;10
uganda;Africa;6399543.600518563;3287733.6896892856;51.37450254144493;19
uzbekistan;Asia;12282028.824728392;5363.816772117;0.043672074448462446;54
venezuela;Latin America and the Caribbean;18355474.481681332;2695164.132687884;14.68316242861302;72
vietnam;Asia;38804379.46695304;7060481.807048332;18.19506433046107;117
western sahara;Africa;229711.048383351;0.0;0.0;2
yemen;Asia;8137867.438181433;536726.013095284;6.595413567159629;14
zambia;Africa;7472185.76578634;3070715.4937356906;41.09527774049581;25
zimbabwe;Africa;3101648.195699592;474797.412468775;15.30790671640573;16
