Region,CitySizeClass,UCDB_Cities,CS_Cities,Omitted_Cities,UCDB_Pop_M,CS_Pop_M,Omitted_Pop_M
Africa,Small,2644,1332,1312,239.1,184.2,54.9
Africa,Medium,78,77,1,53.2,52.5,0.7
Africa,Large,69,69,0,148.2,148.6,0.0
Africa,Very large,10,10,0,65.4,65.4,0.0
Africa,Megacity,4,4,0,61.1,61.1,0.0
Asia,Small,7145,2382,4763,754.1,347.1,407.0
Asia,Medium,311,147,164,215.6,103.3,112.3
Asia,Large,230,132,98,473.2,267.5,205.7
Asia,Very large,29,15,14,204.8,105.4,99.4
Asia,Megacity,22,13,9,484.4,285.0,199.4
Latin America and the Caribbean,Small,955,835,120,120.6,110.7,9.9
Latin America and the Caribbean,Medium,62,59,3,43.4,41.1,2.3
Latin America and the Caribbean,Large,52,51,1,106.4,105.2,1.2
Latin America and the Caribbean,Very large,1,0,1,6.4,0.0,6.4
Latin America and the Caribbean,Megacity,6,6,0,81.3,81.3,0.0
Africa,TOTAL (all sizes),2805,1492,1313,567.0,511.8,55.6
Asia,TOTAL (all sizes),7737,2689,5048,2132.1,1108.3,1023.8
Latin America and the Caribbean,TOTAL (all sizes),1076,951,125,358.1,338.3,19.8
