Country,UCDB_Pop_M,CS_Pop_M,Omitted_Pop_M,Omitted_%
China,636.4,0.0,636.4,100.0
Japan,84.5,0.0,84.5,100.0
India,559.8,479.7,80.0,14.3
Turkey,52.6,0.0,52.6,100.0
South Korea,38.6,0.0,38.6,100.0
Saudi Arabia,24.6,0.0,24.6,100.0
Bangladesh,90.1,68.5,21.6,23.9
Ethiopia,34.7,15.0,19.7,56.8
Taiwan,19.0,0.0,19.0,100.0
Chile,12.1,0.0,12.1,100.0
Nigeria,100.4,91.6,8.8,8.8
Singapore,7.6,0.0,7.6,100.0
Pakistan,102.8,95.8,7.1,6.9
United Arab Emirates,6.0,0.0,6.0,100.0
Israel,5.0,0.0,5.0,100.0
Indonesia,151.0,146.7,4.3,2.9
Azerbaijan,3.9,0.0,3.9,100.0
Kuwait,3.9,0.0,3.9,100.0
Democratic Republic of the Congo,47.3,43.6,3.7,7.8
Myanmar,20.9,17.3,3.7,17.5
Sudan,18.7,15.1,3.6,19.1
Yemen,11.0,8.1,2.9,26.3
Afghanistan,14.4,11.5,2.9,20.0
North Korea,14.4,11.7,2.7,19.0
Qatar,2.2,0.0,2.2,100.0
Oman,1.8,0.0,1.8,100.0
Chad,5.5,3.7,1.8,33.2
South Sudan,2.8,1.0,1.8,64.5
Iraq,30.2,28.5,1.7,5.6
Uruguay,1.7,0.0,1.7,100.0
Mozambique,8.9,7.3,1.6,18.3
Nepal,6.6,5.0,1.6,24.6
Vietnam,40.4,38.8,1.6,3.9
Bahrain,1.4,0.0,1.4,100.0
Georgia,1.4,0.0,1.4,100.0
Kenya,12.1,10.9,1.2,10.0
Armenia,1.2,0.0,1.2,100.0
Philippines,45.5,44.4,1.2,2.5
Madagascar,5.0,3.8,1.1,22.7
Colombia,32.6,31.6,1.0,3.2
Somalia,9.3,8.3,1.0,11.0
Puerto Rico,1.0,0.0,1.0,100.0
Uzbekistan,13.2,12.3,0.9,6.9
Angola,21.5,20.7,0.9,4.0
Eritrea,1.1,0.3,0.9,77.2
Burundi,2.6,1.7,0.9,33.2
Burkina Faso,5.9,5.1,0.8,13.3
Niger,5.4,4.6,0.8,14.3
Egypt,76.9,76.2,0.7,1.0
France,0.7,0.0,0.7,100.0
Trinidad and Tobago,0.6,0.0,0.6,100.0
Cyprus,0.6,0.0,0.6,100.0
Cameroon,15.7,15.2,0.5,3.4
Ghana,16.5,15.9,0.5,3.2
Guatemala,5.9,5.4,0.5,8.5
Peru,18.1,17.7,0.5,2.6
Tanzania,15.5,15.0,0.5,3.0
Togo,3.8,3.4,0.4,11.5
Zambia,7.9,7.5,0.4,5.3
Republic of Congo,4.5,4.1,0.4,8.8
Haiti,4.3,3.9,0.4,9.1
Iran,44.0,43.6,0.4,0.8
Venezuela,18.7,18.4,0.4,1.9
Morocco,19.9,19.6,0.3,1.5
Uganda,6.7,6.4,0.3,4.3
Senegal,8.6,8.3,0.3,3.2
Bahamas,0.3,0.0,0.3,100.0
Gabon,1.0,0.7,0.2,23.8
South Africa,30.5,30.3,0.2,0.7
Algeria,19.5,19.3,0.2,1.1
Mauritania,1.9,1.7,0.2,9.8
Nicaragua,2.8,2.6,0.2,6.2
Guyana,0.2,0.0,0.2,100.0
Curaçao,0.1,0.0,0.1,100.0
Barbados,0.1,0.0,0.1,100.0
Cambodia,3.2,3.0,0.1,4.2
Rwanda,1.8,1.6,0.1,7.0
São Tomé and Príncipe,0.1,0.0,0.1,100.0
Sri Lanka,7.1,7.0,0.1,1.7
Benin,4.8,4.7,0.1,2.5
Djibouti,0.5,0.4,0.1,22.0
Ecuador,9.6,9.5,0.1,1.2
Brazil,118.0,117.9,0.1,0.1
Argentina,28.5,28.4,0.1,0.3
Cape Verde,0.1,0.0,0.1,100.0
Central African Republic,1.7,1.6,0.1,4.9
Zimbabwe,3.2,3.1,0.1,2.5
Paraguay,2.3,2.3,0.1,3.4
