ID_HDC_G0,Region,Region_L2_pred,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
5959.0,Asia,South-Central Asia,afghanistan,Herat,775,775,100.0,1333792.33589888,151072.083842748,11.32650711633729
5964.0,Asia,South-Central Asia,afghanistan,Guzarah,71,71,100.0,164797.329927824,0.0,0.0
5973.0,Asia,South-Central Asia,afghanistan,Farah,124,124,100.0,135327.62085285198,0.0,0.0
5981.0,Asia,South-Central Asia,afghanistan,Zaranj,44,44,100.0,38938.463229944,0.0,0.0
5992.0,Asia,South-Central Asia,afghanistan,Maymana,147,147,100.0,117099.407992388,0.0,0.0
5999.0,Asia,South-Central Asia,afghanistan,Sheberghan,138,138,100.0,155221.40576137303,0.0,0.0
6016.0,Asia,South-Central Asia,afghanistan,Lashkar Gah,166,166,100.0,170033.619357708,0.0,0.0
6028.0,Asia,South-Central Asia,afghanistan,Mazar i sharif,612,612,100.0,720381.470391002,62387.875843229,8.660394306001052
6056.0,Asia,South-Central Asia,afghanistan,Kandahar,467,467,100.0,735208.1559675911,110129.78003748399,14.979401295207973
6075.0,Asia,South-Central Asia,afghanistan,Kunduz,183,183,100.0,251980.48075592902,0.0,0.0
6085.0,Asia,South-Central Asia,afghanistan,Puli Khumri,122,122,100.0,198291.908582029,13357.034425590002,6.736046125686713
6086.0,Asia,South-Central Asia,afghanistan,Khanabad,61,61,100.0,86595.19128613599,0.0,0.0
6091.0,Asia,South-Central Asia,afghanistan,Chaman,63,63,100.0,175884.146438385,0.0,0.0
6100.0,Asia,South-Central Asia,afghanistan,Taloqan,205,205,100.0,296041.749417691,0.0,0.0
6113.0,Asia,South-Central Asia,afghanistan,Charikar,203,203,100.0,182398.35578497598,17887.717446683004,9.80695103840207
6118.0,Asia,South-Central Asia,afghanistan,Kabul,3954,3954,100.0,6003884.040119753,446600.87431055,7.4385326453047576
6119.0,Asia,South-Central Asia,afghanistan,Bagram,19,19,100.0,98120.04371858899,0.0,0.0
6120.0,Asia,South-Central Asia,afghanistan,Injerak,126,126,100.0,117529.575202353,0.0,0.0
6134.0,Asia,South-Central Asia,afghanistan,Pul-i-Alam,43,43,100.0,52538.374222971004,0.0,0.0
6150.0,Asia,South-Central Asia,afghanistan,Jalalabad,436,436,100.0,483710.41592180997,2300.571645996,0.4756092840406974
1561.0,Africa,Northern Africa,algeria,Tinduf,26,26,100.0,29630.343070114002,0.0,0.0
1769.0,Africa,Northern Africa,algeria,Bashar,170,170,100.0,203249.809653248,4360.78893463,2.145531620457443
1804.0,Africa,Northern Africa,algeria,Maghnia,110,110,100.0,112310.17266448098,2407.777026839,2.143863703274743
1832.0,Africa,Northern Africa,algeria,Tlemcen,225,225,100.0,290957.327114734,17762.591950891,6.104878721231389
1852.0,Africa,Northern Africa,algeria,Ain Temouchent,87,87,100.0,93424.83420114701,949.2154365829999,1.0160204668271662
1878.0,Africa,Northern Africa,algeria,Ain Turk,70,70,100.0,86902.55057429303,15148.948219000999,17.4321100116045
1890.0,Africa,Northern Africa,algeria,Oran,995,995,100.0,1247369.06445124,196927.44017193,15.78742376928877
1894.0,Africa,Northern Africa,algeria,Sidi Bel Abbes,223,223,100.0,269861.32146963,19901.566013607,7.374738219328964
1901.0,Africa,Northern Africa,algeria,Ain Sefra,68,68,100.0,73819.964357338,2469.020862216,3.3446519294757273
1916.0,Africa,Northern Africa,algeria,Hassi Bounif,60,60,100.0,70962.251974144,19422.604129761,27.370332239227512
1933.0,Africa,Northern Africa,algeria,Arzew,49,49,100.0,70926.698607264,3543.2880912090004,4.995704242247238
1934.0,Africa,Northern Africa,algeria,Adrar,95,95,100.0,100289.65217801301,5021.8627247350005,5.007358800907246
1937.0,Africa,Northern Africa,algeria,Mecheria,109,109,100.0,108445.174772944,408.173552397,0.37638701145681147
1943.0,Africa,Northern Africa,algeria,Sig,75,75,100.0,79793.086364852,14767.649379100001,18.50742971837845
1962.0,Africa,Northern Africa,algeria,Mostaganem,174,174,100.0,233172.027722613,3081.552102471,1.3215788071015482
1963.0,Africa,Northern Africa,algeria,Mohammadia,76,76,100.0,86427.14277243301,11497.056614328,13.302599444482762
1968.0,Africa,Northern Africa,algeria,Mascara,121,121,100.0,147492.70719912302,1436.059124699,0.9736475463564742
1970.0,Africa,Northern Africa,algeria,Saida,157,157,100.0,196193.058564965,0.0,0.0
1986.0,Africa,Northern Africa,algeria,Relizane,105,105,100.0,139962.556866805,6268.598330895,4.478768087139544
1990.0,Africa,Northern Africa,algeria,El Abiodh Sidi Cheikh,135,135,100.0,147807.821482806,24141.461821683002,16.333006994823545
2002.0,Africa,Northern Africa,algeria,Oued Rhiou,44,44,100.0,63820.005220703,21334.216831275,33.42872937333175
2007.0,Africa,Northern Africa,algeria,Frenda,48,48,100.0,58481.297626695,655.411019275,1.1207190091073218
2018.0,Africa,Northern Africa,algeria,Chettia,86,86,100.0,96537.228577763,40595.194054147,42.0513356890566
2023.0,Africa,Northern Africa,algeria,Ash Shalif,169,169,100.0,216275.80118634598,49906.434517625996,23.075366843573025
