Region_L1,Region_L2,CitySizeClass,UCDB_Pop_M,CS_Pop_M,Omitted_Pop_M,Omitted_%
Africa,Eastern Africa,Small,60.2,30.7,29.5,49.0
Africa,Eastern Africa,Medium,7.2,6.6,0.7,9.6
Africa,Eastern Africa,Large,26.9,26.9,0.0,0.0
Africa,Eastern Africa,Very large,21.4,21.4,0.0,0.0
Africa,Eastern Africa,Megacity,0.0,0.0,0.0,0.0
Africa,Middle Africa,Small,36.2,28.5,7.7,21.4
Africa,Middle Africa,Medium,10.6,10.6,0.0,0.0
Africa,Middle Africa,Large,23.1,23.1,0.0,0.0
Africa,Middle Africa,Very large,5.3,5.3,0.0,0.0
Africa,Middle Africa,Megacity,23.3,23.3,0.0,0.0
Africa,Northern Africa,Small,55.4,50.5,4.8,8.7
Africa,Northern Africa,Medium,18.6,18.6,0.0,0.0
Africa,Northern Africa,Large,31.6,31.6,0.0,0.0
Africa,Northern Africa,Very large,13.6,13.6,0.0,0.0
Africa,Northern Africa,Megacity,25.0,25.0,0.0,0.0
Africa,Southern Africa,Small,11.0,10.7,0.3,2.6
Africa,Southern Africa,Medium,2.1,2.1,0.0,0.0
Africa,Southern Africa,Large,10.4,10.4,0.0,0.0
Africa,Southern Africa,Very large,8.3,8.3,0.0,0.0
Africa,Southern Africa,Megacity,0.0,0.0,0.0,0.0
Africa,Western Africa,Small,76.2,64.1,12.1,15.9
Africa,Western Africa,Medium,14.8,14.8,0.0,0.0
Africa,Western Africa,Large,56.1,56.1,0.0,0.0
Africa,Western Africa,Very large,16.7,16.7,0.0,0.0
Africa,Western Africa,Megacity,12.9,12.9,0.0,0.0
Asia,Eastern Asia,Small,258.0,7.4,250.7,97.1
Asia,Eastern Asia,Medium,96.2,1.4,94.7,98.5
Asia,Eastern Asia,Large,170.9,4.3,166.7,97.5
Asia,Eastern Asia,Very large,84.1,0.0,84.1,100.0
Asia,Eastern Asia,Megacity,185.2,0.0,185.2,100.0
Asia,South-Central Asia,Small,353.3,243.4,109.9,31.1
Asia,South-Central Asia,Medium,77.5,74.5,2.9,3.8
Asia,South-Central Asia,Large,182.2,180.3,1.9,1.0
Asia,South-Central Asia,Very large,54.8,54.8,0.0,0.0
Asia,South-Central Asia,Megacity,185.7,185.7,0.0,0.0
Asia,South-Eastern Asia,Small,96.5,85.4,11.0,11.4
Asia,South-Eastern Asia,Medium,18.3,18.3,0.0,0.0
Asia,South-Eastern Asia,Large,52.5,52.5,0.0,0.0
Asia,South-Eastern Asia,Very large,44.8,37.2,7.6,17.0
Asia,South-Eastern Asia,Megacity,99.3,99.3,0.0,0.0
Asia,Western Asia,Small,46.3,14.6,31.7,68.5
Asia,Western Asia,Medium,23.7,8.2,15.4,65.3
Asia,Western Asia,Large,67.6,27.5,40.1,59.3
Asia,Western Asia,Very large,21.2,13.5,7.7,36.5
Asia,Western Asia,Megacity,14.2,0.0,14.2,100.0
Latin America and the Caribbean,Caribbean,Small,9.3,7.4,1.9,20.6
Latin America and the Caribbean,Caribbean,Medium,2.5,1.7,0.8,32.2
Latin America and the Caribbean,Caribbean,Large,8.2,8.2,0.0,0.0
Latin America and the Caribbean,Caribbean,Very large,0.0,0.0,0.0,0.0
Latin America and the Caribbean,Caribbean,Megacity,0.0,0.0,0.0,0.0
Latin America and the Caribbean,Central America,Small,27.3,26.6,0.7,2.6
Latin America and the Caribbean,Central America,Medium,15.0,15.0,0.0,0.0
Latin America and the Caribbean,Central America,Large,29.5,29.5,0.0,0.0
Latin America and the Caribbean,Central America,Very large,0.0,0.0,0.0,0.0
Latin America and the Caribbean,Central America,Megacity,17.6,17.6,0.0,0.0
Latin America and the Caribbean,South America,Small,84.0,76.8,7.2,8.6
Latin America and the Caribbean,South America,Medium,25.9,24.4,1.5,5.8
Latin America and the Caribbean,South America,Large,68.8,67.6,1.2,1.8
Latin America and the Caribbean,South America,Very large,6.4,0.0,6.4,100.0
Latin America and the Caribbean,South America,Megacity,63.7,63.7,0.0,0.0
