relative_path,size_bytes,size_mb,sha256
GHS_STAT_UCDB2015MT_GLOBE_R2019A_V1_2_with_GHSPOP2023.gpkg,27410432,26.141,9d6007710353591cccbbe56548ac47f84380ece296f1f7a0ed9a1d11bc75ad15
mn_blocks_by_country/angola_mn_blocks.gpkg,51306496,48.93,f78f3656f16926db46a4e997c7bc881a1072d1aeea1133a06369c8b0e6ac851f
mn_blocks_by_country/benin_mn_blocks.gpkg,18829312,17.957,57f748991ba67f4176dde75e352ac025184567192b62299f385105bf2b33e350
mn_blocks_by_country/botswana_mn_blocks.gpkg,6234112,5.945,0c2ac93a931ec70c536b93a60f4cc5e4767dc250267f60a0e86fb194668f6ae1
mn_blocks_by_country/burkina_faso_mn_blocks.gpkg,27860992,26.57,1b95db9639d4538eba1898672a3cb756b2f2e5980a1cb23dae8fb3602420da51
mn_blocks_by_country/burundi_mn_blocks.gpkg,4239360,4.043,f9ec094b9d0b4addd08e30042e9a52f23652184d10b6c9024a7591a48d850041
mn_blocks_by_country/cameroon_mn_blocks.gpkg,41328640,39.414,afe81540835df9b4476bf7d0a9b5bcb9c80f5b099d34044a4de1dcc442c70008
mn_blocks_by_country/central_african_republic_mn_blocks.gpkg,3768320,3.594,823b5b5269601578b9a3949ac43176af2338732aa26e8a908d7c466b86a965df
mn_blocks_by_country/chad_mn_blocks.gpkg,9396224,8.961,15f26394181877643bd0ab8db90b4b83d25590657507b64ce5cb9007312acbe2
mn_blocks_by_country/comoros_mn_blocks.gpkg,737280,0.703,bd27991c57023bc05c791c9a9591565951d47ffca03b79edcd2209c2b940e086
mn_blocks_by_country/cote_d_ivoire_mn_blocks.gpkg,28872704,27.535,85261883d54021b85521e08a6df593dffa2a7819daa7324a768705be2c42bf80
mn_blocks_by_country/democratic_republic_of_the_congo_mn_blocks.gpkg,87830528,83.762,20bf7064b091d7a26d277dbb6ea1d53bbdbeb88bad59faa89b24dd057fe76340
mn_blocks_by_country/djibouti_mn_blocks.gpkg,1585152,1.512,a93f67eb43b615d66a6d4e2b429b8632824340bebed32d3798eca6b432324df4
mn_blocks_by_country/equatorial_guinea_mn_blocks.gpkg,1740800,1.66,fa4cd65a407648b5fe6bebe8063cf2082a1766643792c3c76390b1ccfdb6f645
mn_blocks_by_country/eritrea_mn_blocks.gpkg,2158592,2.059,05cedc8c1243ae3aa6aa90e2bdc0d1b0350d6d4f8e79833a6565db40658b81e1
mn_blocks_by_country/ethiopia_mn_blocks.gpkg,38043648,36.281,60e5057ad525115d0c3fc78130de9f5926f29520af9cdbb288a48f338b3d04a3
mn_blocks_by_country/gabon_mn_blocks.gpkg,2342912,2.234,8addd55ed21cd0ba28a886fc68d49f7ed114ecc8d71744ba4834aa0238300c81
mn_blocks_by_country/gambia_mn_blocks.gpkg,5378048,5.129,7382e82e85d0f016b0d66f9130033356ef8d6d933af94957c0d3f9f09bc2ca59
